protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,109.73.173.199,1080,United Kingdom,GB,Maidstone,elite,true,98.34,AS33182,"HostDime.com, Inc.",304.38,1780376976.4134834
socks5,206.123.156.211,11792,United Kingdom,GB,City of London,elite,true,16.8,AS213790,Limited Network LTD,1061.61,1780376967.3648713
socks5,192.252.210.233,4145,United Kingdom,GB,London,elite,true,88.71,AS46562,Performive LLC,935.31,1780376966.971315
socks5,45.89.111.139,1082,United Kingdom,GB,City of London,elite,true,70.28,AS209847,WorkTitans B.V.,649.52,1780376965.9155772
socks5,185.87.255.117,1080,United Kingdom,GB,Covent Garden,elite,true,16.96,AS215089,Fast Panda Limited,2922.07,1780376942.566181
socks5,57.129.144.178,40000,United Kingdom,GB,Bexley,elite,true,57.13,AS16276,OVH SAS,306.22,1780376934.36446
socks5,94.131.122.125,1081,United Kingdom,GB,Holborn,elite,true,41.55,AS209847,WorkTitans B.V.,4249.0,1780376933.4507098
socks5,45.89.111.139,1081,United Kingdom,GB,City of London,elite,true,71.35,AS209847,WorkTitans B.V.,138.37,1780376933.2428837
socks5,94.131.122.128,1081,United Kingdom,GB,Holborn,elite,true,37.02,AS209847,WorkTitans B.V.,11537.87,1780376912.166425
socks5,185.218.3.94,9445,United Kingdom,GB,Coventry,elite,true,6.37,AS209847,WorkTitans B.V.,10493.86,1780376888.5187895
socks5,89.169.10.248,1080,United Kingdom,GB,City of London,elite,true,34.81,AS212706,ZTV-CORP,2915.29,1780376885.6668913
socks5,45.89.111.19,1081,United Kingdom,GB,City of London,elite,true,80.27,AS209847,WorkTitans B.V.,116.42,1780376833.1068072
socks5,94.131.122.125,1082,United Kingdom,GB,Holborn,elite,true,41.4,AS209847,WorkTitans B.V.,138.59,1780376830.5725627
socks5,8.211.195.139,4100,United Kingdom,GB,London,elite,true,1.82,AS45102,"Alibaba (US) Technology Co., Ltd.",6080.93,1780376802.9031146
socks5,81.168.119.85,443,United Kingdom,GB,Maidenhead,elite,true,96.22,AS20860,Iomart Cloud Services Limited,4846.7,1780376795.0726848
socks5,8.211.195.139,8888,United Kingdom,GB,London,elite,true,1.93,AS45102,"Alibaba (US) Technology Co., Ltd.",13385.56,1780376782.4892533
socks5,206.123.156.211,19903,United Kingdom,GB,City of London,elite,true,21.8,AS213790,Limited Network LTD,11418.26,1780376767.429603
socks5,206.123.156.211,19098,United Kingdom,GB,City of London,elite,true,30.13,AS213790,Limited Network LTD,6535.59,1780376763.3175964
socks5,206.123.156.211,26845,United Kingdom,GB,City of London,elite,true,9.02,AS213790,Limited Network LTD,12021.99,1780376743.3723967
socks5,206.123.156.211,11576,United Kingdom,GB,City of London,elite,true,29.94,AS213790,Limited Network LTD,10876.16,1780376742.4559505
