protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.143.108.118,8080,Georgia,GE,Tbilisi,transparent,false,8.4,AS208320,Airmax LLC,4643.14,1783244334.389017
socks4,85.117.32.166,4153,Georgia,GE,Tbilisi,elite,true,58.32,AS20771,Caucasus Online Ltd.,3308.3,1783244322.0057518
http,85.117.61.108,8080,Georgia,GE,Tbilisi,transparent,false,12.24,AS20771,Caucasus Online Ltd.,5572.46,1783244309.7358756
http,92.51.122.174,8080,Georgia,GE,Kutaisi,transparent,false,5.49,AS44327,Deltanet-net Network,6798.51,1783244307.9148278
http,85.117.63.207,8080,Georgia,GE,Tbilisi,transparent,false,8.23,AS20771,Caucasus Online Ltd.,5770.87,1783244305.9321375
http,94.43.164.242,8080,Georgia,GE,Batumi,transparent,false,9.64,AS35805,"JSC ""Silknet""",4426.23,1783244304.3883655
http,85.117.62.70,8080,Georgia,GE,Tbilisi,transparent,true,8.98,AS20771,Caucasus Online Ltd.,3166.13,1783244270.7693064
http,45.143.108.13,8080,Georgia,GE,Tbilisi,transparent,false,2.46,AS208320,Airmax LLC,8072.73,1783244262.3022044
http,85.117.56.43,8080,Georgia,GE,Tbilisi,transparent,false,12.39,AS20771,Caucasus Online Ltd.,10474.11,1783244189.647524
http,45.143.108.10,8080,Georgia,GE,Tbilisi,transparent,false,2.56,AS208320,Airmax LLC,5593.7,1783244278.4906316
