protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,38.41.225.174,8888,Guatemala,GT,Antigua Guatemala,elite,true,46.77,AS264764,Innova Outsourcing S.A,793.18,1783717767.2748451
http,186.33.0.11,999,Guatemala,GT,Guatemala City,transparent,false,30.53,AS52468,Ufinet Panama S.A.,9698.02,1783717745.683823
http,181.119.105.155,999,Guatemala,GT,Guatemala City,transparent,false,19.05,AS52468,Ufinet Panama S.A.,418.03,1783717740.7140162
http,186.33.7.203,999,Guatemala,GT,Morazán,transparent,false,31.27,AS52468,IFX Networks Argentina S.R.L,11737.72,1783717729.9418795
http,186.33.7.117,999,Guatemala,GT,San Rafael Petzal,transparent,false,29.92,AS52468,IFX Networks Argentina S.R.L,1036.02,1783717727.6801574
http,181.119.105.157,999,Guatemala,GT,Guatemala City,transparent,false,24.01,AS52468,Ufinet Panama S.A.,3619.05,1783717726.2879252
http,148.230.17.248,999,Guatemala,GT,Guatemala City,transparent,false,7.22,AS26617,Navega.com S.A.,6684.58,1783717720.9762557
http,181.78.51.157,999,Guatemala,GT,Santa Cruz Balanyá,transparent,false,10.86,AS52468,Ufinet Panama S.A.,7702.6,1783717720.6190205
http,201.216.147.249,999,Guatemala,GT,Guatemala City,transparent,false,32.49,AS14754,Telgua,3476.92,1783717709.7081494
http,201.216.147.244,999,Guatemala,GT,Guatemala City,transparent,false,31.16,AS14754,Telgua,11223.36,1783717697.6603334
http,186.33.5.13,8080,Guatemala,GT,Guatemala City,transparent,false,11.69,AS52468,Ufinet Panama S.A.,7635.09,1783717623.3675957
http,45.5.119.17,999,Guatemala,GT,Guatemala City,transparent,true,26.28,AS52468,Ufinet Panama S.A.,4098.18,1783717586.9857662
