protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.174.115.9,1994,Guatemala,GT,Guatemala City,transparent,false,8.31,AS23243,Comcel Guatemala S.A.,2987.83,1783795747.0151875
http,190.61.101.72,8080,Guatemala,GT,Guatemala City,transparent,true,19.03,AS52468,UFINET Guatemala S. A,437.74,1783795744.5839279
http,45.5.119.17,999,Guatemala,GT,Guatemala City,transparent,false,26.39,AS52468,Ufinet Panama S.A.,2664.4,1783795732.4921372
http,181.119.105.157,999,Guatemala,GT,Guatemala City,transparent,false,24.18,AS52468,Ufinet Panama S.A.,1433.84,1783795731.918582
http,186.33.3.37,999,Guatemala,GT,Guatemala City,transparent,true,28.44,AS52468,Ufinet Panama S.A.,7818.5,1783795729.1083272
http,186.33.7.227,999,Guatemala,GT,Morazán,transparent,false,16.49,AS52468,IFX Networks Argentina S.R.L,11538.77,1783795713.863831
http,190.122.185.170,999,Guatemala,GT,Guatemala City,elite,false,4.19,AS22869,Comunicaciones Metropolitanas Cablecolor,11480.48,1783795677.5038595
http,138.118.106.237,999,Guatemala,GT,Santa Catarina Pinula,transparent,false,5.31,AS263781,"ONNO NETWORKS, SOCIEDAD ANÓNIMA",4130.17,1783795671.403818
http,186.33.3.209,999,Guatemala,GT,Guatemala City,transparent,false,32.99,AS52468,Ufinet Panama S.A.,5843.09,1783795669.4735124
http,138.118.104.122,999,Guatemala,GT,Salamá,transparent,false,21.57,AS263781,"ONNO NETWORKS, SOCIEDAD ANÓNIMA",8969.03,1783795655.0377579
http,186.33.0.11,999,Guatemala,GT,Guatemala City,transparent,false,30.63,AS52468,Ufinet Panama S.A.,1854.43,1783795647.60077
http,201.216.147.249,999,Guatemala,GT,Guatemala City,transparent,true,33.31,AS14754,Telgua,1716.53,1783795741.132531
