protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,89.26,AS132203,Shenzhen Tencent Computer Systems Company Limited,748.63,1783718698.729968
http,203.19.38.114,1080,Hong Kong,HK,Hong Kong,elite,false,75.23,AS23764,China Telecom Global networks,542.89,1783718692.3710032
socks4,103.27.78.251,30001,Hong Kong,HK,Hong Kong,elite,true,64.58,AS979,NetLab Global,4994.23,1783718691.2976165
socks4,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,61.77,AS45102,Alibaba Cloud LLC,899.58,1783718686.8647707
socks5,119.28.13.138,1080,Hong Kong,HK,Hong Kong,elite,true,100.0,AS132203,ComsenzNet,2736.03,1783718685.3876648
socks4,43.129.80.138,18999,Hong Kong,HK,Hong Kong,elite,true,75.61,AS132203,Shenzhen Tencent Computer Systems Company Limited,11616.43,1783718684.6291327
socks4,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,60.19,AS45102,"Alibaba (US) Technology Co., Ltd.",7515.23,1783718684.5216298
http,69.165.68.32,808,Hong Kong,HK,Hong Kong,elite,true,100.0,AS62468,VpsQuan L.L.C.,3238.95,1783718678.2566023
http,101.36.123.203,8118,Hong Kong,HK,Hong Kong,elite,false,11.27,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,14486.39,1783718672.7198257
socks5,47.76.170.223,1011,Hong Kong,HK,Hong Kong,elite,true,17.31,AS45102,Alibaba Cloud LLC,2814.01,1783718671.8318734
socks5,103.27.78.155,5555,Hong Kong,HK,Hong Kong,elite,true,75.14,AS979,NetLab Global,2460.43,1783718671.6197045
http,8.218.65.238,9999,Hong Kong,HK,Hong Kong,elite,true,99.21,AS45102,"Alibaba (US) Technology Co., Ltd.",662.83,1783718670.1657717
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,58.94,AS45102,Alibaba.com LLC,652.26,1783718669.3867142
http,103.167.61.162,3128,Hong Kong,HK,Mid Levels,elite,true,87.62,AS398704,Stacks Inc,1538.25,1783718668.4186695
http,39.109.113.97,4090,Hong Kong,HK,Kwai Chung,elite,false,73.48,AS142403,Yisu Cloud LTD,664.33,1783718667.4177308
socks5,47.86.234.70,9898,Hong Kong,HK,Hong Kong,elite,true,42.62,AS45102,Alibaba Cloud LLC,5104.96,1783718665.6844516
socks5,43.248.10.236,1080,Hong Kong,HK,Mong Kok,elite,true,81.16,AS42960,VH-GLOBAL,8748.57,1783718660.3673735
