protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,47.52.223.161,5872,Hong Kong,HK,Hong Kong,transparent,true,90.9,AS45102,Alibaba Cloud LLC,520.34,1783098889.4396515
http,8.218.227.241,12366,Hong Kong,HK,Hong Kong,elite,false,14.48,AS45102,"Alibaba (US) Technology Co., Ltd.",1046.45,1783098888.4305696
http,47.83.168.191,4000,Hong Kong,HK,Hong Kong,elite,false,53.96,AS45102,Alibaba.com LLC,939.13,1783098887.7162504
http,203.19.38.114,1080,Hong Kong,HK,Hong Kong,elite,false,75.04,AS23764,China Telecom Global networks,542.67,1783098886.2750845
http,193.239.86.180,80,Hong Kong,HK,Hong Kong,elite,false,91.82,AS9009,M247 Europe SRL,852.57,1783098883.6982412
http,103.167.61.162,3128,Hong Kong,HK,Mid Levels,elite,true,87.09,AS398704,Stacks Inc,9680.89,1783098882.7099557
http,39.109.113.97,4090,Hong Kong,HK,Kwai Chung,elite,false,72.81,AS142403,Yisu Cloud LTD,603.4,1783098880.9265547
http,20.205.16.149,3128,Hong Kong,HK,Hong Kong,transparent,true,12.07,AS8075,Microsoft Corporation,4373.71,1783098878.3763278
http,165.154.7.156,8888,Hong Kong,HK,Hong Kong,elite,true,50.14,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,734.06,1783098877.563321
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,95.04,AS139021,West263 International Limited,1669.09,1783098872.6701357
http,152.32.132.190,7890,Hong Kong,HK,Hong Kong,elite,true,66.46,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,675.12,1783098871.8858032
http,43.161.239.147,11090,Hong Kong,HK,Hong Kong,elite,true,67.32,AS132203,Aceville Pte.ltd,4700.65,1783098862.557802
http,34.96.238.40,8080,Hong Kong,HK,Hong Kong,elite,true,21.9,AS396982,Google LLC,2286.26,1783098849.7667255
http,47.83.168.191,5000,Hong Kong,HK,Hong Kong,elite,false,42.24,AS45102,Alibaba.com LLC,945.67,1783098843.3241658
http,20.2.221.52,3456,Hong Kong,HK,Hong Kong,transparent,true,18.04,AS8075,Microsoft Corporation,13422.99,1783098842.7856145
http,103.1.50.45,3125,Hong Kong,HK,Kwun Tong,transparent,true,7.62,AS142352,CPCNet Hong Kong Ltd. - IP Administrator,20192.48,1783098832.3629885
http,43.161.239.147,8888,Hong Kong,HK,Hong Kong,elite,false,73.58,AS132203,Aceville Pte.ltd,2598.82,1783098831.443413
http,123.58.219.150,7890,Hong Kong,HK,Hong Kong,elite,false,55.39,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1892.17,1783098824.683101
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,94.8,AS45102,Alibaba.com LLC,830.11,1783098823.653527
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,84.14,AS45102,Alibaba Cloud LLC,1055.83,1783098819.6064312
http,45.15.10.174,3128,Hong Kong,HK,Ha Kwai Chung,transparent,false,6.68,AS133115,HK Kwaifong Group Limited,14497.12,1783098799.965739
http,103.1.50.77,3125,Hong Kong,HK,Kwun Tong,transparent,false,2.58,AS142352,CPCNet Hong Kong Ltd. - IP Administrator,15496.78,1783098702.3006299
