protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,154.211.14.52,808,Hong Kong,HK,Chai Wan,elite,true,11.85,AS142403,Yisu Cloud LTD,2986.01,1783112047.3637955
http,68.64.179.186,8080,Hong Kong,HK,Tai Kok Tsui,elite,true,14.67,AS139659,LucidaCloud Limited,3442.1,1783112041.9838767
http,165.154.7.156,8888,Hong Kong,HK,Hong Kong,elite,true,50.66,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,716.47,1783112023.3870895
http,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,31.21,AS45102,Alibaba Cloud LLC,1172.92,1783112022.543054
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,84.14,AS45102,Alibaba Cloud LLC,683.18,1783112021.4796495
http,43.99.100.108,3128,Hong Kong,HK,Hong Kong,elite,true,14.36,AS45102,"Alibaba (US) Technology Co., Ltd.",592.62,1783112018.4179463
http,152.32.132.190,7890,Hong Kong,HK,Hong Kong,elite,true,66.52,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2614.18,1783112017.7489798
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,94.81,AS45102,Alibaba.com LLC,668.38,1783112017.3430433
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,60.94,AS45102,Alibaba.com LLC,1513.4,1783112014.466718
http,47.76.144.139,800,Hong Kong,HK,Hong Kong,elite,true,0.71,AS45102,Alibaba Cloud LLC,5737.95,1783111981.655877
http,47.83.168.191,5000,Hong Kong,HK,Hong Kong,elite,true,42.34,AS45102,Alibaba.com LLC,1324.61,1783111969.4907632
http,47.52.223.161,5872,Hong Kong,HK,Hong Kong,transparent,true,90.92,AS45102,Alibaba Cloud LLC,835.36,1783111936.9576774
