protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,123.58.219.150,7890,Hong Kong,HK,Hong Kong,elite,true,51.87,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1204.11,1783121396.2590654
socks5,43.161.217.219,1080,Hong Kong,HK,Hong Kong,elite,true,99.98,AS132203,Aceville Pte.ltd,1099.03,1783121392.1554053
socks5,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,51.94,AS45102,Alibaba Cloud LLC,2744.64,1783121385.9940023
socks5,45.192.110.180,1080,Hong Kong,HK,Hong Kong,elite,true,37.84,AS401701,Vapeline Technology,10453.06,1783121379.7857895
socks5,8.210.206.223,9090,Hong Kong,HK,Hong Kong,elite,true,88.51,AS45102,"Alibaba (US) Technology Co., Ltd.",1544.99,1783121372.4516847
socks5,45.194.33.12,30001,Hong Kong,HK,Hong Kong,elite,true,99.72,AS138995,Antbox Network Limited,1241.2,1783121357.3836732
socks5,47.86.42.224,1011,Hong Kong,HK,Hong Kong,elite,true,53.96,AS45102,Alibaba Cloud LLC,14506.5,1783121346.6503654
socks5,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,59.99,AS45102,"Alibaba (US) Technology Co., Ltd.",15256.35,1783121335.867146
socks5,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,52.4,AS45102,Alibaba Cloud LLC,4698.31,1783121334.6941016
socks5,43.248.10.236,1080,Hong Kong,HK,Mong Kok,elite,true,83.39,AS42960,VH-GLOBAL,2274.25,1783121333.6818225
socks5,103.117.120.10,5555,Hong Kong,HK,Hang Hau,elite,true,87.08,AS154321,Corenet Cloud Sdn. Bhd.,4970.08,1783121330.6132915
socks5,8.218.152.184,1111,Hong Kong,HK,Hong Kong,elite,true,23.61,AS45102,"Alibaba (US) Technology Co., Ltd.",24459.82,1783121330.108252
socks5,68.64.179.186,1080,Hong Kong,HK,Tai Kok Tsui,elite,true,34.26,AS139659,LucidaCloud Limited,10550.54,1783121326.0153296
socks5,47.83.134.196,1011,Hong Kong,HK,Hong Kong,elite,true,33.08,AS45102,Alibaba.com LLC,22772.61,1783121319.3605056
socks5,8.217.112.43,1011,Hong Kong,HK,Hong Kong,elite,true,55.49,AS45102,"Alibaba (US) Technology Co., Ltd.",1853.19,1783121305.1121073
socks5,8.218.152.184,1011,Hong Kong,HK,Hong Kong,elite,true,24.77,AS45102,"Alibaba (US) Technology Co., Ltd.",13386.15,1783121302.770484
socks5,47.83.168.191,4000,Hong Kong,HK,Hong Kong,elite,true,57.66,AS45102,Alibaba.com LLC,7432.37,1783121302.7432752
socks5,47.243.197.73,9050,Hong Kong,HK,Hong Kong,elite,true,30.68,AS45102,Alibaba Cloud LLC,4902.34,1783121302.3212898
socks5,8.218.100.255,1011,Hong Kong,HK,Hong Kong,elite,true,45.55,AS45102,"Alibaba (US) Technology Co., Ltd.",17161.23,1783121291.76979
socks5,47.238.210.231,1011,Hong Kong,HK,Hong Kong,elite,true,81.05,AS45102,Alibaba Cloud LLC,13518.64,1783121284.6245315
socks5,8.210.17.35,11,Hong Kong,HK,Hong Kong,elite,true,1.4,AS45102,Alibaba.com LLC,6363.54,1783121189.849373
socks5,208.87.201.22,1080,Hong Kong,HK,Mong Kok,elite,true,74.47,AS133199,SonderCloud Limited,4092.34,1783121382.471499
