protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.7.24.161,999,Honduras,HN,San Pedro Sula,transparent,false,12.74,AS263725,Multicable De Honduras,2702.2,1783401226.183863
socks4,181.115.75.102,5678,Honduras,HN,San Pedro Sula,elite,true,15.5,AS14754,Telgua,1186.92,1783401215.8802044
http,179.49.113.230,999,Honduras,HN,Comayagua,transparent,true,19.85,AS262234,Asociacion De Servicio De Internet S. De RL,8468.52,1783401215.2806284
http,181.78.44.63,999,Honduras,HN,La Unión,transparent,false,53.51,AS52468,Ufinet Panama S.A.,9283.6,1783401213.5366075
http,179.49.113.225,999,Honduras,HN,Comayagua,transparent,false,18.19,AS262234,Asociacion De Servicio De Internet S. De RL,4008.27,1783401199.0444632
http,190.185.112.58,999,Honduras,HN,Tegucigalpa,transparent,false,9.15,AS27932,Redes y Telecomunicaciones,5680.73,1783401196.6854608
http,181.115.67.3,999,Honduras,HN,San Pedro Sula,transparent,false,7.02,AS14754,Telgua,8043.75,1783401187.379994
http,45.4.85.210,999,Honduras,HN,Rancho Grande,transparent,false,24.33,AS262234,Asociacion De Servicio De Internet S. De RL,4726.06,1783401180.3152294
http,200.106.236.142,8080,Honduras,HN,Tegucigalpa,elite,true,29.84,AS23383,Metrored S.a. De C.V.,12965.88,1783401159.6436527
http,186.33.20.48,999,Honduras,HN,San Pedro Sula,transparent,false,30.51,AS52468,Ufinet Panama S.A.,4633.86,1783401109.5520577
