protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.78.44.63,999,Honduras,HN,La Unión,transparent,false,53.62,AS52468,Ufinet Panama S.A.,6712.49,1783661949.615924
http,179.49.113.225,999,Honduras,HN,Comayagua,transparent,true,18.39,AS262234,Asociacion De Servicio De Internet S. De RL,531.34,1783661942.9382873
http,190.130.6.11,8080,Honduras,HN,Tegucigalpa,elite,true,14.92,AS7727,Hondutel,5956.01,1783661942.279919
http,190.185.112.58,999,Honduras,HN,Tegucigalpa,transparent,true,9.23,AS27932,Redes y Telecomunicaciones,2170.86,1783661937.4155903
http,38.188.186.43,999,Honduras,HN,Comayagua,transparent,false,13.64,AS263725,Multicable De Honduras,11664.12,1783661914.2501137
http,186.33.20.48,999,Honduras,HN,San Pedro Sula,transparent,false,28.29,AS52468,Ufinet Panama S.A.,1790.87,1783661881.82549
http,45.4.85.210,999,Honduras,HN,Rancho Grande,transparent,false,22.8,AS262234,Asociacion De Servicio De Internet S. De RL,8366.15,1783661823.6982853
http,186.33.20.193,999,Honduras,HN,San Pedro Sula,transparent,false,26.7,AS52468,Ufinet Panama S.A.,6898.65,1783661812.3403404
http,45.182.22.250,999,Honduras,HN,San Pedro Sula,transparent,false,8.68,AS263725,Multicable De Honduras,5675.3,1783661961.6918392
http,38.7.24.161,999,Honduras,HN,San Pedro Sula,transparent,false,12.55,AS263725,Multicable De Honduras,3038.0,1783661948.135317
