protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,210.87.92.196,8080,Indonesia,ID,Bangil,transparent,true,48.67,AS149360,PT Indo Telemedia Solusi,443.25,1782697175.6319745
socks4,36.95.189.165,5678,Indonesia,ID,South Tangerang,elite,true,12.88,AS7713,PT. Telekomunikasi Indonesia,3359.12,1782697174.221275
socks5,103.172.70.13,1083,Indonesia,ID,Karawang,elite,true,12.85,AS142386,AZNET,2582.04,1782697173.720371
socks5,8.215.47.191,10080,Indonesia,ID,Jakarta,elite,true,70.0,AS45102,"Alibaba (US) Technology Co., Ltd.",3671.85,1782697173.3587596
socks4,103.118.127.222,4153,Indonesia,ID,Jakarta,elite,true,16.76,AS137376,Tele,849.0,1782697172.8908865
socks4,103.158.155.187,51395,Indonesia,ID,Bakalan,elite,true,85.09,AS141126,CUBIESPOT,4033.22,1782697172.8684695
socks5,103.18.77.4,1080,Indonesia,ID,Bogor,elite,true,68.66,AS55701,PT Usaha Adi Sanggoro,2468.54,1782697172.340501
socks4,115.85.86.114,5678,Indonesia,ID,Jakarta,elite,true,14.7,AS23953,Sudirman Central Business District,3902.95,1782697172.2773008
socks5,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,56.16,AS45102,"Alibaba (US) Technology Co., Ltd.",1326.13,1782697171.41299
socks4,103.166.158.239,1081,Indonesia,ID,Cibungurgardu,elite,true,17.06,AS141955,PT Timor Lintas Nusantara,1004.67,1782697170.986148
socks4,203.77.239.219,50574,Indonesia,ID,Bekasi,elite,true,47.76,AS9228,PT. Total Info Kharisma,7149.52,1782697169.9632115
socks5,103.169.254.155,1080,Indonesia,ID,Ciputat,elite,true,52.56,AS142370,PT Master Star Network,2746.6,1782697167.9088802
socks5,103.189.63.149,53053,Indonesia,ID,Denpasar,elite,true,46.93,AS149746,PT Blip Integrator Provider,4812.89,1782697167.6862319
socks4,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,60.1,AS45102,"Alibaba (US) Technology Co., Ltd.",1014.48,1782697167.2764554
socks4,103.102.141.39,4145,Indonesia,ID,Jakarta,elite,true,14.58,AS136854,PT. PALAPA RING BARAT,932.11,1782697166.74538
socks5,103.242.105.199,8199,Indonesia,ID,Bandung,elite,true,25.32,AS58821,PT Lintas Jaringan Nusantara,1124.22,1782697166.3146968
socks4,182.253.144.75,4153,Indonesia,ID,Sukabumi,elite,true,60.17,AS17451,Biznet Networks,1997.4,1782697165.1333568
socks5,103.119.60.219,1080,Indonesia,ID,Jakarta,elite,true,47.86,AS63859,PT. Eka Mas Republik,2214.99,1782697164.4642806
socks4,103.158.155.189,51395,Indonesia,ID,Bakalan,elite,true,85.85,AS141126,CUBIESPOT,8226.24,1782697164.4072921
http,202.58.77.7,7777,Indonesia,ID,Tawangrejo,anonymous,true,18.74,AS138886,PT Data Buana Nusantara,9965.53,1782697160.2958593
http,103.65.237.92,5678,Indonesia,ID,Jakarta,elite,false,78.24,AS135450,PT Berkah Solusi Teknologi Informasi,476.39,1782697159.2287421
http,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,61.21,AS45102,"Alibaba (US) Technology Co., Ltd.",681.23,1782697158.9780662
socks4,36.64.27.123,5678,Indonesia,ID,Tangerang,elite,true,13.07,AS7713,PT. Telekomunikasi Indonesia,2041.75,1782697158.913333
http,16.79.161.32,8080,Indonesia,ID,Jakarta,elite,true,93.58,AS16509,"Amazon.com, Inc.",630.3,1782697158.6648846
http,8.215.15.163,1081,Indonesia,ID,Jakarta,elite,false,1.52,AS45102,"Alibaba (US) Technology Co., Ltd.",2613.72,1782697158.2816455
socks4,157.10.97.83,2021,Indonesia,ID,Palembang,elite,true,46.24,AS58821,PT Lintas Jaringan Nusantara,1025.74,1782697157.9171195
socks4,43.248.27.11,54730,Indonesia,ID,Jakarta,elite,true,14.24,AS18103,Neuviz,8175.32,1782697157.7336085
socks4,103.81.194.162,6666,Indonesia,ID,Cileungsir,elite,true,50.7,AS59150,PT Rtiga Global Media,966.91,1782697155.6105878
socks4,202.58.77.40,5678,Indonesia,ID,Tawangrejo,elite,true,16.81,AS138886,PT Data Buana Nusantara,1942.37,1782697153.3438601
http,38.80.11.245,8080,Indonesia,ID,Banyuwangi,transparent,false,28.51,AS142238,PT JOSU GLOBAL TEKNOLOGI,9917.47,1782697152.6482084
http,103.153.191.119,3128,Indonesia,ID,Singosari,transparent,false,8.77,AS140469,WANET,10169.4,1782697152.6340299
http,8.215.15.163,1337,Indonesia,ID,Jakarta,elite,false,0.94,AS45102,"Alibaba (US) Technology Co., Ltd.",9885.41,1782697151.316358
http,103.75.53.74,8080,Indonesia,ID,South Tangerang,transparent,true,15.28,AS46023,PT Quantum Tera Network,13887.33,1782697150.9278684
http,103.253.127.45,8090,Indonesia,ID,Jombang,anonymous,false,22.08,AS150989,PT Media Akses Telematika,7747.2,1782697150.0444791
http,103.191.171.51,1234,Indonesia,ID,Cianjur,transparent,false,24.58,AS149933,PT Sahabat Manjur Grup,7488.36,1782697149.6199265
socks5,103.172.121.52,47821,Indonesia,ID,Purwodadi Grobogan,elite,true,35.09,AS142398,PT Digital Akses Nusantara,9375.71,1782697148.4074512
http,103.144.90.75,8081,Indonesia,ID,Ponorogo,transparent,true,14.43,AS139425,BEAT,10895.01,1782697148.310905
socks4,103.175.240.64,1080,Indonesia,ID,Comal,elite,true,22.33,AS45305,LDP,4088.77,1782697147.606514
socks4,36.95.39.122,1080,Indonesia,ID,East Jakarta,elite,true,49.12,AS7713,Telekomunikasi Indonesia,4099.85,1782697147.3710587
http,103.60.88.11,3125,Indonesia,ID,Lamongan,transparent,true,3.48,AS151572,PT Evolution Karya Lintas Data,3266.61,1782697147.3680077
http,103.144.90.72,8081,Indonesia,ID,Ponorogo,transparent,false,16.79,AS139425,BEAT,6182.49,1782697147.2751877
http,36.64.162.194,8080,Indonesia,ID,Jakarta,elite,false,6.69,AS7713,PT. Telekomunikasi Indonesia,5354.08,1782697146.2001991
socks4,222.165.234.147,52667,Indonesia,ID,West Jakarta,elite,true,11.32,AS24207,PT NettoCyber Indonesia,3902.05,1782697145.721657
http,103.193.144.41,8080,Indonesia,ID,Batam,transparent,false,11.06,AS58821,PT Lintas Jaringan Nusantara,7552.07,1782697144.7954712
socks4,117.102.115.158,51752,Indonesia,ID,North Jakarta,elite,true,83.79,AS17451,BIZNET,8052.46,1782697143.7187288
http,103.169.225.35,8080,Indonesia,ID,Leuwiliang,transparent,false,12.69,AS142354,SUPERSPACE,6301.55,1782697143.6519566
http,103.81.110.136,3125,Indonesia,ID,Serang,transparent,true,6.61,AS150958,PT Fiber Data Nusantara,10728.38,1782697142.6600757
http,182.253.10.20,8080,Indonesia,ID,Kota Batam,transparent,false,13.57,AS17451,BIZNET,2430.46,1782697142.354659
socks4,103.158.155.99,51395,Indonesia,ID,Bakalan,elite,true,91.62,AS141126,CUBIESPOT,920.44,1782697141.3600547
http,38.150.19.148,3125,Indonesia,ID,Batam,transparent,false,3.37,AS153098,PT MMS DIGITAL COMMUNICATION,13210.48,1782697141.045082
socks5,103.242.104.69,8199,Indonesia,ID,Bandung,elite,true,8.5,AS58821,PT Lintas Jaringan Nusantara,4906.82,1782697140.968201
http,103.152.140.182,8090,Indonesia,ID,Jakarta,transparent,false,21.86,AS140482,IDEANET,7460.91,1782697140.4001172
http,157.15.122.57,3125,Indonesia,ID,Banjarbaru,anonymous,false,4.54,AS152397,Nex+,11645.03,1782697139.8993013
http,103.157.79.82,1111,Indonesia,ID,Jakarta,transparent,false,9.39,AS141114,EASTMEDIA,14183.71,1782697139.7778378
http,103.118.102.98,80,Indonesia,ID,Central Jakarta,transparent,true,20.05,AS4787,PT Cyberindo Aditama,1057.16,1782697139.1798737
http,103.18.77.14,1111,Indonesia,ID,Bogor,transparent,false,44.29,AS55701,PT Usaha Adi Sanggoro,1483.33,1782697138.823927
http,103.133.24.123,8080,Indonesia,ID,Bekasi,anonymous,false,21.7,AS138130,PT PHATRIA INTI PERSADA,10141.8,1782697138.3525147
http,139.5.155.245,57412,Indonesia,ID,Denpasar,transparent,false,16.31,AS131699,PT Maxindo Mitra Solusi,2116.55,1782697137.5600302
http,103.167.68.84,8080,Indonesia,ID,Kabupaten Bandung,transparent,true,24.56,AS141982,PT Kataji Nukami Indonesia,3520.32,1782697137.2784312
socks5,103.142.255.32,1080,Indonesia,ID,Jombang,elite,true,54.49,AS139381,PT.CITRA BERDIKARI NUSANTARA,2337.07,1782697137.143653
http,36.66.121.131,8080,Indonesia,ID,Jakarta,transparent,false,9.74,AS7713,Telekomunikasi Indonesia,4141.2,1782697136.367892
http,103.29.4.137,8080,Indonesia,ID,Jakarta,transparent,true,31.9,AS38753,PT. Solusindo Bintang Pratama,2076.55,1782697136.0119033
http,36.92.61.75,8080,Indonesia,ID,Jakarta,transparent,true,28.9,AS7713,Telekomunikasi Indonesia,3694.75,1782697135.407068
http,103.191.171.35,8181,Indonesia,ID,Cianjur,transparent,false,30.27,AS149933,PT Sahabat Manjur Grup,5017.75,1782697134.6692579
http,103.75.84.212,3125,Indonesia,ID,Candi Prambanan,transparent,true,31.7,AS136873,MEGADATA,8550.6,1782697134.5918796
http,103.227.187.3,6090,Indonesia,ID,Kendalrejo,transparent,false,28.31,AS142370,PT Master Star Network,757.44,1782697134.3824916
http,123.176.126.95,8080,Indonesia,ID,Jakarta,transparent,false,30.79,AS136106,FIBERSTAR,2361.29,1782697133.6158988
http,182.253.69.95,8080,Indonesia,ID,Jakarta,transparent,false,8.4,AS17451,BIZNET,3067.52,1782697133.188004
http,36.64.86.11,8080,Indonesia,ID,Tangerang,transparent,true,12.39,AS7713,PT. Telekomunikasi Indonesia,9419.48,1782697131.8573217
http,157.15.40.219,8080,Indonesia,ID,Ponorogo,transparent,true,6.87,AS139952,PT Trisari Data Indonusa,1658.76,1782697131.5199344
http,103.81.110.212,3125,Indonesia,ID,Serang,transparent,true,9.96,AS150958,PT Fiber Data Nusantara,6302.23,1782697131.3474348
http,203.142.74.115,8080,Indonesia,ID,South Tangerang,transparent,false,12.94,AS17451,BIZNET,6282.52,1782697130.6804237
http,103.187.215.124,8050,Indonesia,ID,Kediri,transparent,false,16.96,AS133817,PT Inti Data Telematika,4917.73,1782697130.6430044
http,103.178.41.51,8080,Indonesia,ID,Purwokerto,transparent,false,11.56,AS149321,PT Cakrawala Media Data,776.28,1782697130.5701683
http,103.217.224.29,8089,Indonesia,ID,Ungaran,transparent,false,19.79,AS151006,PT Nesta Indo Media,10480.47,1782697130.267981
http,103.189.250.47,8080,Indonesia,ID,Banyuwangi,elite,false,22.39,AS150247,PT Pandawa Lima Java Network,3467.26,1782697130.231299
http,103.156.57.135,9988,Indonesia,ID,Batam,transparent,false,31.7,AS141083,PT Filltech Antar Nusa,4893.93,1782697129.8811233
http,103.227.187.193,6080,Indonesia,ID,Kendalrejo,transparent,false,5.79,AS142370,PT Master Star Network,10227.62,1782697129.046597
http,101.255.106.94,8080,Indonesia,ID,Bekasi,transparent,false,9.4,AS38511,PT Remala Abadi,6914.99,1782697128.5667832
http,192.232.48.25,8181,Indonesia,ID,Pringsewu,transparent,false,13.83,AS142201,PT Axindo Infinitas Network,4997.91,1782697127.5840774
http,103.103.193.194,8080,Indonesia,ID,South Jakarta,transparent,false,11.21,AS135636,PT. RACKH LINTAS ASIA,2397.08,1782697127.240045
http,103.166.159.179,3125,Indonesia,ID,Air Molek,transparent,false,10.69,AS141955,PT Timor Lintas Nusantara,14493.06,1782697126.5622683
http,103.165.157.235,3125,Indonesia,ID,Taman,transparent,false,27.92,AS136873,MEGADATA-ISP,6803.59,1782697126.405128
http,103.184.63.98,3125,Indonesia,ID,Parung,transparent,false,2.64,AS149674,PT Cloudwel Network Indonesia,16718.43,1782697125.4328978
http,180.94.23.51,8090,Indonesia,ID,Cianjur,transparent,false,15.85,AS152041,KAHAJA,8662.96,1782697125.3582978
http,103.166.159.115,1080,Indonesia,ID,Indrajaya Satu,elite,false,24.02,AS141955,PT Timor Lintas Nusantara,4719.61,1782697124.0736318
http,103.241.178.26,3125,Indonesia,ID,Andoolo,transparent,true,7.98,AS135477,PT. Java Digital Nusantara,1034.15,1782697121.3899865
http,103.82.246.21,6080,Indonesia,ID,Segorotambak,transparent,false,19.5,AS142370,PT Master Star Network,2783.24,1782697120.5247488
http,175.184.236.12,1111,Indonesia,ID,Cikarang,transparent,false,25.72,AS152440,Indonesia Network Information Center,8627.16,1782697120.4199588
http,154.19.38.195,1111,Indonesia,ID,Tangerang,transparent,false,13.01,AS150279,PT Lintas Network Solusi,835.17,1782697119.76139
http,202.58.77.194,8031,Indonesia,ID,Tawangrejo,anonymous,true,9.13,AS138886,PT Data Buana Nusantara,12231.09,1782697117.9234831
http,36.95.142.35,8080,Indonesia,ID,South Tangerang,transparent,false,7.54,AS7713,Telekomunikasi Indonesia,2678.52,1782697117.8398418
http,103.172.121.28,8080,Indonesia,ID,Purwodadi Grobogan,transparent,false,14.91,AS142398,PT Digital Akses Nusantara,11047.09,1782697114.2737036
http,43.241.247.43,8080,Indonesia,ID,Berangan,transparent,true,27.09,AS152087,PT Mega Cipta Netindo,4520.87,1782697113.469804
http,163.227.146.17,8181,Indonesia,ID,Cianjur,transparent,false,24.08,AS153820,PT EXA TELEKOMUNIKASI NUSANTARA,7620.09,1782697112.6478744
http,203.175.102.166,7777,Indonesia,ID,Kutamangu,transparent,true,37.27,AS152014,PT. Mitra Kita Brilian,542.18,1782697112.3664143
http,103.39.70.252,8181,Indonesia,ID,Sambas,transparent,false,20.33,AS150274,PT Gateway media Zafira,5198.86,1782697108.4160461
http,203.175.103.33,7777,Indonesia,ID,Ketanggungan,transparent,false,34.2,AS152014,PT. Mitra Kita Brilian,508.16,1782697106.8439205
http,103.175.202.138,8090,Indonesia,ID,Loklaga,transparent,false,9.04,AS147118,PT Ameera Mega Buana,15219.57,1782697106.7916555
http,103.172.42.125,1111,Indonesia,ID,Karawang,transparent,true,9.19,AS142393,PT Media Solusi Sukses,689.78,1782697106.3209121
http,101.255.107.122,1111,Indonesia,ID,Bekasi,transparent,false,16.74,AS38511,PT Remala Abadi,2768.48,1782697106.303494
http,175.158.44.21,3125,Indonesia,ID,North Jakarta,transparent,false,18.92,AS135478,CBNNAP,9868.95,1782697105.2758553
http,103.76.108.227,8080,Indonesia,ID,Rejoagung,transparent,false,30.43,AS151576,PT Mahawira Nusantara Grup,2651.35,1782697104.323195
http,43.252.106.66,8080,Indonesia,ID,Kudus,transparent,false,21.83,AS45305,PT Lintas Data Prima,4090.47,1782697103.6269255
http,121.101.131.244,8080,Indonesia,ID,Wonosobo,transparent,false,24.1,AS131706,PT SELARAS CITRA TERABIT,12556.98,1782697103.3572104
http,103.163.103.208,8080,Indonesia,ID,Jatiroto,transparent,false,11.35,AS141673,PT Mamura Inter Media,12253.6,1782697102.62575
http,103.242.105.65,7200,Indonesia,ID,Bandung,transparent,false,10.28,AS58821,PT Lintas Jaringan Nusantara,6240.58,1782697102.4847548
http,161.248.226.19,3125,Indonesia,ID,Babakan Baru,transparent,false,3.03,AS153565,PT Intan Digital Internet,10044.61,1782697102.0198777
http,103.132.41.198,7777,Indonesia,ID,Wonosobo,transparent,false,28.95,AS150970,PT Kalimasada Inti Sarana,1570.2,1782697101.3491175
http,103.247.22.114,4317,Indonesia,ID,Bekasi,transparent,false,21.21,AS58485,PT wifian Solution,2987.46,1782697101.2603455
http,103.189.249.145,1111,Indonesia,ID,Jatiroto,transparent,false,10.97,AS149888,PT Berkah Media Kusuma Vision,2177.75,1782697100.7342083
http,103.126.87.182,8080,Indonesia,ID,Selogiri,anonymous,false,18.97,AS138109,PT. Rasi Bintang Perkasa,14706.3,1782697099.133159
http,103.247.22.77,4357,Indonesia,ID,Bekasi,transparent,true,17.09,AS58485,PT wifian Solution,5577.38,1782697098.9866276
http,103.173.72.25,1111,Indonesia,ID,Cikarang,transparent,false,10.31,AS147113,PT Eyza Kausa Sinergi Abadi,15663.16,1782697097.3439398
http,38.183.146.57,8080,Indonesia,ID,Bekasi,transparent,false,15.43,AS140457,PT Ikhlas Cipta Teknologi,6518.72,1782697096.9508946
http,160.19.18.253,3125,Indonesia,ID,Nangkasari,transparent,true,5.82,AS149360,PT Indo Telemedia Solusi,13486.29,1782697095.3921664
http,36.94.185.122,60080,Indonesia,ID,East Jakarta,elite,false,5.35,AS7713,PT. Telekomunikasi Indonesia,6062.94,1782697095.3793316
http,103.161.131.110,8080,Indonesia,ID,Kresek,elite,true,28.57,AS141613,PT Jaringan Internet Nusantara,471.24,1782697095.2606714
http,103.179.180.134,8080,Indonesia,ID,Utan,transparent,true,22.12,AS149345,PT Karya Aneka Persada,3428.27,1782697094.5906746
http,103.180.126.114,8080,Indonesia,ID,Jakarta,anonymous,false,19.08,AS149374,PT Alam Media Data,10195.06,1782697093.6630113
http,103.191.165.146,8090,Indonesia,ID,Subang,transparent,true,11.86,AS149925,PT Sakti Wijaya Network,7503.8,1782697093.5040996
http,110.76.147.25,8090,Indonesia,ID,Kutoarjo,transparent,false,21.85,AS140481,PT Pika Media Komunika,12899.34,1782697093.397929
http,103.165.157.239,8090,Indonesia,ID,Purbalingga,transparent,true,32.96,AS136873,MEGADATA-ISP,486.34,1782697092.7609935
http,103.94.251.91,8085,Indonesia,ID,Dalududalu,transparent,false,22.25,AS138884,PT Centronet Data Indonesia,10286.09,1782697092.2980921
http,182.253.10.21,8080,Indonesia,ID,Kota Batam,transparent,false,13.31,AS17451,BIZNET,2348.98,1782697092.1620743
http,16.78.119.130,443,Indonesia,ID,Jakarta,elite,false,64.3,AS16509,"Amazon.com, Inc.",7770.68,1782697090.7278683
http,163.223.79.35,8080,Indonesia,ID,Jombang,elite,false,6.62,AS153697,PT Big Network Indonesia,7829.76,1782697090.6530042
http,103.253.127.230,3125,Indonesia,ID,Jombang,transparent,false,2.59,AS150989,PT Media Akses Telematika,14399.45,1782697089.6073847
http,103.76.31.2,8181,Indonesia,ID,Pekanbaru,transparent,true,20.08,AS150472,PT Umzah Sukses Jaringan Andalan,7181.81,1782697088.9840124
