protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.162.54.182,8090,Indonesia,ID,Subang,transparent,false,15.15,AS141645,PT Pratama Asia Globalindo,3870.45,1782995383.9600608
http,154.19.39.151,8090,Indonesia,ID,Tangerang,transparent,true,16.82,AS150279,PT Lintas Network Solusi,12580.62,1782995383.321635
http,163.223.117.6,8080,Indonesia,ID,Kuningan,transparent,false,23.18,AS153768,PT Signall Network Nusantara,3413.22,1782995380.9931333
http,103.167.68.84,8080,Indonesia,ID,Kabupaten Bandung,transparent,false,24.66,AS141982,PT Kataji Nukami Indonesia,4430.92,1782995380.6268082
http,43.252.158.170,8989,Indonesia,ID,Bandung,transparent,false,14.82,AS149746,PT Blip Integrator Provider,470.86,1782995380.525148
http,161.248.206.196,8080,Indonesia,ID,Wonosari,transparent,false,9.87,AS151505,PT Iktiar Doa Tawakal,5873.94,1782995379.1401677
http,163.61.112.253,8080,Indonesia,ID,Palembang,transparent,false,28.93,AS153600,PT VESAKHA SECEPAT KILAT,8137.77,1782995379.0479736
http,103.11.99.126,8080,Indonesia,ID,Arjuna,transparent,true,22.55,AS55653,PT SKYLINE SEMESTA,7693.77,1782995378.0460963
http,103.102.14.68,666,Indonesia,ID,Rembang,transparent,false,10.28,AS136865,FISNET,7051.87,1782995377.7080886
http,157.20.207.115,8080,Indonesia,ID,Kudus,transparent,false,11.38,AS152436,PT Erajaya Telco Indonesia,7618.88,1782995376.8758805
http,38.183.146.10,8080,Indonesia,ID,Bekasi,transparent,true,27.69,AS140457,PT Ikhlas Cipta Teknologi,2792.66,1782995376.7381148
http,103.130.82.30,8282,Indonesia,ID,Bengkalis,transparent,false,27.7,AS150966,PT Central Digital Network,437.34,1782995376.6956856
http,103.120.76.46,8080,Indonesia,ID,Tangerang,transparent,false,31.05,AS150501,PT Haci Telekomunikasi Indonesia,1547.69,1782995376.4693727
http,103.180.119.182,8082,Indonesia,ID,Kemendung,transparent,false,13.03,AS149359,PT Persada Data Multimedia,7634.0,1782995374.568962
http,103.191.171.51,1234,Indonesia,ID,Cianjur,transparent,false,24.08,AS149933,PT Sahabat Manjur Grup,804.41,1782995374.0159438
http,103.179.252.225,3128,Indonesia,ID,Sawangan,transparent,false,41.04,AS149350,PT Pusaka Kreasi Mandiri,14035.11,1782995373.9340444
http,103.114.52.130,8080,Indonesia,ID,Gatak,transparent,false,12.04,AS137349,Proxy-registered,9451.12,1782995373.70738
http,38.183.146.163,8080,Indonesia,ID,Bekasi,transparent,false,19.05,AS140457,PT Ikhlas Cipta Teknologi,3698.68,1782995373.6952305
http,113.192.30.27,7777,Indonesia,ID,South Jakarta,transparent,false,22.82,AS149360,PT Indo Telemedia Solusi,11138.54,1782995372.7950568
http,103.126.174.187,8080,Indonesia,ID,Bandar Lampung,anonymous,true,15.5,AS138112,MEGARAP,878.62,1782995371.402531
http,101.255.118.85,1111,Indonesia,ID,Bekasi,transparent,false,26.7,AS38511,PT Remala Abadi,15496.58,1782995371.1028388
http,103.247.13.131,8085,Indonesia,ID,Magelang,transparent,false,17.88,AS131706,TERABIT,7412.89,1782995370.1479902
http,27.123.222.193,8080,Indonesia,ID,Jakarta,transparent,false,19.11,AS58369,FIBERNET,4603.14,1782995369.7879274
http,103.106.79.98,8080,Indonesia,ID,Depok,transparent,false,30.64,AS46023,PT Quantum Tera Multimedia,7335.28,1782995369.7011082
http,160.20.38.58,3125,Indonesia,ID,Indramayu,transparent,false,37.23,AS152767,PT SAMUDRA DIGITAL NETWORK,10465.08,1782995368.7478588
http,113.192.31.79,8099,Indonesia,ID,South Jakarta,transparent,false,29.4,AS149360,PT Indo Telemedia Solusi,5563.24,1782995368.716351
http,103.22.98.69,8080,Indonesia,ID,Magetan,transparent,false,8.78,AS150243,CV. KHALISTA GROUP,6603.72,1782995367.4638746
http,103.102.12.67,8080,Indonesia,ID,Rembang,transparent,false,20.55,AS136865,FISNET,4336.26,1782995367.2474213
http,103.169.225.35,8080,Indonesia,ID,Leuwiliang,transparent,false,12.73,AS142354,SUPERSPACE,3289.44,1782995366.611864
http,103.141.150.191,8080,Indonesia,ID,Bandung,transparent,false,19.79,AS133815,PRIMACOM,6867.56,1782995364.7987063
http,103.172.42.125,1111,Indonesia,ID,Karawang,transparent,false,9.28,AS142393,PT Media Solusi Sukses,5520.67,1782995364.703872
http,103.174.122.92,8080,Indonesia,ID,Sumedang,anonymous,false,9.31,AS147096,PT Jaya Sejahtra Nugraha,6467.61,1782995363.4073424
http,103.154.222.58,1111,Indonesia,ID,Leuwiliang,transparent,true,19.99,AS131111,MORATELINDONAP,3246.38,1782995362.87987
http,202.58.77.114,8080,Indonesia,ID,Tawangrejo,anonymous,true,11.13,AS138886,PT Data Buana Nusantara,13471.08,1782995361.5381594
http,157.20.239.165,8080,Indonesia,ID,Sidoarjo,anonymous,false,23.0,AS152429,PT Era Network Indonesia,9045.16,1782995361.0399673
http,103.165.155.195,8080,Indonesia,ID,Pasarkemis,transparent,false,9.34,AS141921,PT Jaringan Keluarga Bersama,13598.12,1782995360.736657
http,103.156.14.227,3125,Indonesia,ID,Tubei,transparent,false,31.52,AS58821,PT Lintas Jaringan Nusantara,10629.06,1782995360.561787
http,45.198.32.207,8080,Indonesia,ID,Semarang,transparent,false,25.76,AS138089,PT Global Media Data Prima,16246.99,1782995359.250374
http,202.58.77.194,8031,Indonesia,ID,Tawangrejo,anonymous,false,9.23,AS138886,PT Data Buana Nusantara,11519.53,1782995358.5959966
