protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.222.255.161,8055,Indonesia,ID,Wates,transparent,true,19.72,AS151505,PT Iktiar Doa Tawakal,1571.72,1780597157.7363267
http,110.76.145.119,8080,Indonesia,ID,Muntilan,transparent,true,18.95,AS140481,PT Pika Media Komunika,3027.71,1780597152.2924657
http,154.18.255.102,8080,Indonesia,ID,Karawang,transparent,true,24.3,AS142393,PT Media Solusi Sukses,11779.12,1780597130.9305532
http,103.132.52.20,8080,Indonesia,ID,Kajen,transparent,true,20.0,AS138123,PT Adeaksa Indo Jayatama,6121.74,1780597124.351924
http,160.19.18.29,8080,Indonesia,ID,Semarang,transparent,true,9.62,AS149360,PT Indo Telemedia Solusi,2535.0,1780597123.272844
http,157.20.252.7,8097,Indonesia,ID,Tanjung Pinang,transparent,true,20.92,AS138089,PT.Global Media Data Prima,4745.45,1780597118.3577633
http,202.56.163.109,8080,Indonesia,ID,Jakarta,transparent,true,75.87,AS45287,"Varnion Technology Semesta, PT",4095.35,1780597117.9091818
http,27.124.81.146,8080,Indonesia,ID,Magelang,transparent,true,8.61,AS9341,PT. JAWA POS NATIONAL NETWORK MEDIALINK,1328.95,1780597110.955889
http,103.167.171.149,7778,Indonesia,ID,Jakarta,transparent,true,56.85,AS141983,PT Rajeg Media Telekomunikasi,7785.31,1780597107.4718664
http,103.156.14.54,8080,Indonesia,ID,Tubei,transparent,true,14.94,AS58821,PT Lintas Jaringan Nusantara,8698.33,1780597107.3691921
http,103.82.93.100,3128,Indonesia,ID,Padalarang,transparent,true,23.33,AS136052,PT Cloud Hosting Indonesia,6809.01,1780597105.9599383
http,110.76.147.29,1080,Indonesia,ID,Kutoarjo,transparent,true,24.52,AS140481,PT Pika Media Komunika,3319.14,1780597103.8042126
http,103.87.202.196,8080,Indonesia,ID,Lamongan,transparent,true,23.18,AS150259,PT MULTI GUNA SINERGI,5246.29,1780597102.5346744
http,103.162.54.147,8080,Indonesia,ID,Jatiwangi,transparent,true,15.61,AS141645,PT Pratama Asia Globalindo,11675.73,1780597100.4359078
http,103.217.224.29,8089,Indonesia,ID,Ungaran,transparent,true,18.49,AS151006,PT Nesta Indo Media,2727.66,1780597093.3737535
http,160.20.128.15,1080,Indonesia,ID,Cikarang,transparent,true,8.62,AS152783,PT ASTI DIGITAL INDONESIA,11485.78,1780597084.5678902
http,103.141.105.74,55,Indonesia,ID,Martapura,transparent,true,9.94,AS9341,PT Indonesia Comnets Plus,6386.64,1780597078.2288465
http,160.191.180.157,8080,Indonesia,ID,Purworejo,transparent,true,29.07,AS138089,PT.Global Media Data Prima,3836.77,1780597071.9609904
http,223.25.110.216,3125,Indonesia,ID,Banyumas,transparent,true,21.59,AS136873,SinergiNet,3746.25,1780597068.4290364
http,160.22.134.228,1111,Indonesia,ID,Tangerang,transparent,true,5.9,AS152810,PT GALAXY SINERGI NETWORK,5104.84,1780597068.3031633
http,125.163.142.73,8080,Indonesia,ID,Malang,transparent,true,42.08,AS7713,PT. Telekomunikasi Indonesia,2245.64,1780597062.4718728
http,103.14.231.214,3168,Indonesia,ID,Tulangbawang,anonymous,true,33.01,AS149945,PT Internet Corp Ltd,6046.89,1780597009.103123
http,157.15.67.22,3125,Indonesia,ID,Tulungagung,transparent,true,6.65,AS152377,TRITAMA,19131.61,1780596997.779915
http,103.125.174.121,3125,Indonesia,ID,Pekan Bahapal,anonymous,true,5.29,AS139415,PT Trinity Teknologi Nusantara,10481.6,1780596997.5118484
