protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,103.160.205.244,8080,Indonesia,ID,Pendaleman,elite,true,53.92,AS141595,PRIME,969.57,1781485152.7912607
socks4,103.10.99.110,5678,Indonesia,ID,Kelanabian,elite,true,15.12,AS18103,Neuviz,1999.82,1781485152.5404737
socks4,103.148.201.74,1089,Indonesia,ID,Sukoharjo,elite,true,50.99,AS139997,WORTEL,1929.04,1781485151.4012215
socks4,103.118.127.222,4153,Indonesia,ID,Jakarta,elite,true,14.03,AS137376,Tele,841.23,1781485151.053459
socks4,103.102.141.39,4145,Indonesia,ID,Jakarta,elite,true,12.6,AS136854,PT. PALAPA RING BARAT,972.59,1781485150.3669279
socks4,182.253.144.75,4153,Indonesia,ID,Madiun,elite,true,65.52,AS17451,Biznet Networks,993.38,1781485148.3364003
socks4,36.95.189.165,5678,Indonesia,ID,South Tangerang,elite,true,11.13,AS7713,PT. Telekomunikasi Indonesia,2001.61,1781485146.2014027
socks4,103.81.194.164,4444,Indonesia,ID,Cileungsir,elite,true,48.73,AS59150,PT Rtiga Global Media,1029.28,1781485143.861566
socks4,103.247.21.82,49103,Indonesia,ID,Bekasi,elite,true,90.83,AS58485,PT wifian Solution,921.19,1781485143.3946347
socks4,103.152.92.131,21080,Indonesia,ID,Dersah,elite,true,8.91,AS138860,AYO,1898.82,1781485142.2971523
socks4,103.172.71.204,1080,Indonesia,ID,Karawang,elite,true,51.38,AS142386,AZNET,3924.57,1781485141.2933965
socks4,103.81.194.125,1080,Indonesia,ID,Cileungsir,elite,true,57.46,AS59150,PT Rtiga Global Media,8181.67,1781485139.3615723
socks4,103.247.21.82,40495,Indonesia,ID,Bekasi,elite,true,86.02,AS58485,PT wifian Solution,1011.19,1781485139.292274
socks4,36.64.27.123,5678,Indonesia,ID,Tangerang,elite,true,11.25,AS7713,PT. Telekomunikasi Indonesia,4052.04,1781485138.686162
socks4,103.76.170.254,1080,Indonesia,ID,Sungailiat,elite,true,67.11,AS9341,ICONPLN,1909.38,1781485138.4307833
socks4,202.162.219.12,1080,Indonesia,ID,Depok,elite,true,6.57,AS9341,PT Indonesia Comnets Plus,929.93,1781485137.557898
socks4,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,60.76,AS45102,"Alibaba (US) Technology Co., Ltd.",3603.66,1781485135.813111
socks4,103.158.253.105,12,Indonesia,ID,Bulupayung,elite,true,13.77,AS141137,Rapid Network,8201.57,1781485132.612371
socks4,139.255.86.226,5678,Indonesia,ID,Bekasi,elite,true,15.0,AS9905,PT. LINKNET,1881.73,1781485132.30916
socks4,103.146.185.169,1083,Indonesia,ID,Wonogiri,elite,true,22.19,AS139967,YAMNET,905.37,1781485131.4955099
socks4,103.151.155.20,11080,Indonesia,ID,Demak,elite,true,40.43,AS140425,Dinas Komunikasi DAN Informatika Kabupaten Demak,898.99,1781485131.353572
socks4,103.105.78.207,1090,Indonesia,ID,Bojonegoro,elite,true,58.63,AS55676,GARUDA,3972.92,1781485127.992589
socks4,147.93.81.120,1080,Indonesia,ID,Jakarta,elite,true,66.76,AS47583,HOSTINGER ID,850.06,1781485127.5630631
