protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.65.73.81,80,India,IN,Kolkata,anonymous,false,79.7,AS4755,Tata Communications Limited,477.34,1782253155.6700156
socks4,45.249.79.190,3629,India,IN,Vijayawada,elite,true,7.11,AS18229,Tejasri Communications,1756.72,1782253155.4253025
http,4.213.167.178,80,India,IN,Pune,elite,false,97.6,AS8075,Microsoft Corporation,342.46,1782253152.5333123
socks4,45.249.78.177,5678,India,IN,Mātsavaram,elite,true,7.89,AS18229,Tejasri Communications,853.43,1782253152.435359
socks4,139.59.44.192,9050,India,IN,Bengaluru,elite,true,46.01,AS14061,"DigitalOcean, LLC",11813.19,1782253147.5691855
http,202.179.93.132,58080,India,IN,Mumbai,transparent,true,9.97,AS138296,Ankhnet,4993.07,1782253147.2753694
socks4,117.216.46.148,1080,India,IN,Cherthala,elite,true,60.01,AS9829,BSNL Internet,1348.74,1782253145.8043706
socks5,139.59.44.192,9050,India,IN,Bengaluru,elite,true,36.63,AS14061,"DigitalOcean, LLC",14524.79,1782253144.082382
http,139.167.218.162,3127,India,IN,Bengaluru,transparent,true,76.64,AS55836,Reliance Jio Infocomm Ltd,1025.92,1782253140.9134576
socks4,159.65.158.30,8888,India,IN,Bengaluru,elite,true,26.96,AS14061,"DigitalOcean, LLC",19249.95,1782253137.486137
socks5,117.244.114.54,1080,India,IN,Kollam,elite,true,70.99,AS9829,BSNL Internet,1799.32,1782253131.343589
http,52.140.40.92,80,India,IN,Chennai,transparent,false,20.74,AS8075,Microsoft Corporation,11278.09,1782253121.282637
http,14.102.70.89,8080,India,IN,Karnāl,transparent,false,12.06,AS18002,World Phone Internet Services Pvt Ltd,16175.98,1782253111.7229788
http,117.236.124.166,3128,India,IN,Gandhinagar,elite,true,72.7,AS9829,BSNL Internet,342.87,1782253100.5676527
socks4,103.59.203.209,4145,India,IN,Mumbai,elite,true,3.01,AS134014,NET 4 U SERVICES PVT LTD,3667.97,1782253099.8532157
socks5,103.163.244.106,1080,India,IN,Panipat,elite,true,54.59,AS132746,Infolink System,951.31,1782253097.8868334
socks5,150.129.115.253,6667,India,IN,Surat,elite,true,25.23,AS45916,Gtpl Solanki Cable Network Pvt Ltd,4164.25,1782253088.234978
http,14.143.222.113,57748,India,IN,Chennai,anonymous,true,97.73,AS4755,Tata Communications Limited,319.55,1782253085.2965477
http,103.137.84.17,84,India,IN,Jaipur,transparent,false,3.15,AS138734,Bakliwal Telecom Services Pvt Ltd,8490.48,1782253078.5925689
http,103.171.12.2,8080,India,IN,Coimbatore,transparent,true,30.69,AS134032,Infonet Comm Enterprises,2005.44,1782253076.2755735
http,103.170.46.245,8080,India,IN,Obra,transparent,false,7.15,AS148992,THINGS OF INDIA (OPC) PRIVATE LIMITED,2865.01,1782253065.375961
socks5,43.242.227.10,9051,India,IN,Panvel,elite,true,35.04,AS146943,Tier 4 Cloud Services,16089.64,1782253063.6213481
http,143.244.140.119,3128,India,IN,Bengaluru,transparent,false,5.44,AS14061,"DigitalOcean, LLC",14748.41,1782253054.3552577
http,140.245.238.56,53,India,IN,Hyderabad,elite,false,63.47,AS31898,Oracle Corporation,3634.78,1782253045.3462772
http,103.171.194.52,82,India,IN,Udupi,transparent,false,3.55,AS141329,Udupi Fastnet Private Limited,7106.26,1782253037.9858663
http,103.155.130.134,8082,India,IN,Mumbai,transparent,false,11.47,AS141480,Haash Media,4351.37,1782253031.2659688
http,117.215.158.12,8080,India,IN,Gurugram,transparent,true,24.09,AS9829,Bharat Sanchar Nigam Ltd,6177.78,1782253024.918092
http,103.143.39.97,1111,India,IN,Mumbai,transparent,false,23.03,AS136373,Allied It Infrastructure And Services Pvt Ltd,6412.26,1782252992.3451703
socks4,210.16.86.105,5678,India,IN,Chennai,elite,true,46.49,AS134877,Sri Vari Network Private Limited,835.74,1782253203.8215368
http,103.48.68.138,83,India,IN,Hyderabad,transparent,true,5.11,AS136290,Country Online Services PVT LTD,714.15,1782253198.391005
http,161.248.176.2,8080,India,IN,Firozpur,transparent,false,37.41,AS153302,SNA INTERNET PRIVATE LIMITED,4189.67,1782253181.8799844
http,202.62.84.210,53281,India,IN,Hyderabad,elite,false,3.87,AS17483,CityOnline Services Ltd,11457.22,1782253159.9586754
http,103.48.71.70,83,India,IN,Banjara Hills,transparent,true,5.11,AS136290,Country Online Services PVT LTD,10759.2,1782253155.7462983
http,202.179.95.174,58080,India,IN,Mumbai,transparent,false,10.63,AS138296,Ankhnet,10079.04,1782253152.403948
http,103.83.80.70,8080,India,IN,Bhānpura,transparent,false,16.32,AS135826,Syntego Technologies India Private Limited,6625.41,1782253139.8748643
http,103.80.118.33,8080,India,IN,Solapur,transparent,false,9.72,AS135834,Multicraft Digital Technologies Private Limited,4287.21,1782253115.9578989
http,43.243.172.186,82,India,IN,Pune,transparent,false,2.43,AS134254,Shah Solutions,13087.61,1782253105.9740236
http,103.48.68.82,83,India,IN,Hyderabad,transparent,false,4.97,AS136290,Country Online Services PVT LTD,12695.14,1782253079.0798466
http,163.223.130.80,82,India,IN,Panipat,transparent,true,2.46,AS132746,Infolink System,8400.33,1782253056.9798584
http,103.41.32.185,58080,India,IN,Mumbai,transparent,false,10.74,AS138296,Juweriyah Networks Private Limited,8122.21,1782253019.9895303
