protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,117.236.124.166,3128,India,IN,Gandhinagar,elite,true,70.62,AS9829,BSNL Internet,344.7,1782041388.4666386
http,14.143.222.113,57748,India,IN,Chennai,anonymous,true,98.93,AS4755,Tata Communications Limited,352.7,1782041378.3178425
http,139.167.218.162,3127,India,IN,Bengaluru,transparent,true,76.7,AS55836,Reliance Jio Infocomm Ltd,1530.65,1782041375.4680698
http,103.44.2.177,8080,India,IN,Hyderabad,transparent,false,5.88,AS150008,Leadership Advisory Services PVT LTD,5076.14,1782041366.7962663
http,103.83.80.70,8080,India,IN,Bhānpura,transparent,false,16.18,AS135826,Syntego Technologies India Private Limited,6418.0,1782041362.6493812
http,103.88.237.97,84,India,IN,Hyderabad,transparent,false,9.7,AS139490,Mana Communications,7293.1,1782041355.5158179
http,219.65.73.81,80,India,IN,Kolkata,anonymous,false,79.53,AS4755,Tata Communications Limited,673.91,1782041354.3009174
http,4.213.167.178,80,India,IN,Pune,elite,false,97.57,AS8075,Microsoft Corporation,295.97,1782041351.7463746
http,103.171.194.52,83,India,IN,Udupi,transparent,true,8.39,AS141329,Udupi Fastnet Private Limited,3221.56,1782041345.7716947
http,103.48.68.106,82,India,IN,Hyderabad,transparent,false,2.28,AS136290,Country Online Services PVT LTD,12261.08,1782041342.887909
http,36.255.86.115,83,India,IN,Bengaluru,transparent,false,6.81,AS132559,Gatik Business Solutions,18005.63,1782041341.8844066
http,103.74.144.5,82,India,IN,New Delhi,transparent,false,7.37,AS58965,Airmax Internet Private Limited,10726.03,1782041337.5728724
http,52.140.40.92,80,India,IN,Chennai,transparent,false,20.6,AS8075,Microsoft Corporation,14196.7,1782041324.9008994
http,139.84.177.129,5555,India,IN,Noida,elite,true,48.45,AS20473,"The Constant Company, LLC",8746.57,1782041316.6809256
http,103.172.254.209,83,India,IN,Hyderabad,transparent,true,32.45,AS133271,Willaegis Online Private Limited,7801.11,1782041316.6608193
http,101.53.134.45,3128,India,IN,Noida,elite,true,60.85,AS132420,E2E Networks Limited,372.51,1782041314.5092359
http,175.101.240.38,80,India,IN,Hyderabad,elite,false,51.22,AS135203,Excell Media Pvt Ltd,4180.43,1782041309.3278308
http,103.163.244.17,83,India,IN,Panipat,transparent,true,3.23,AS132746,Infolink System,5640.34,1782041290.84071
http,111.92.88.27,3128,India,IN,Kochi,transparent,false,60.28,AS17465,Asianet Satellite Communications Pvt Ltd,15003.93,1782041288.238431
http,103.125.154.1,8080,India,IN,Tirupur,transparent,false,11.58,AS138746,Live Fibernet,3819.91,1782041274.3099163
http,103.74.144.34,82,India,IN,New Delhi,transparent,false,2.81,AS58965,Airmax Internet Private Limited,19248.57,1782041269.9598815
http,103.21.68.49,83,India,IN,Hyderabad,transparent,false,6.84,AS136290,Country Online Services PVT LTD,12511.49,1782041249.325761
http,103.137.218.113,83,India,IN,Bhagalpur,transparent,false,9.69,AS132972,Nandbalaji Connecting Zone Pvt. Ltd,2990.87,1782041237.483347
http,103.41.33.169,58080,India,IN,Mumbai,transparent,false,8.67,AS138296,Juweriyah Networks Private Limited,1193.26,1782041234.3840592
http,43.242.104.36,8111,India,IN,Bengaluru,anonymous,false,8.16,AS9829,BSNL Internet,13188.96,1782041222.3551524
http,210.16.85.42,8080,India,IN,Chennai,transparent,false,8.64,AS134877,Sri Vari Network Private Limited,3934.42,1782041299.543245
