protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.48.68.126,83,India,IN,Hyderabad,transparent,true,9.04,AS136290,Country Online Services PVT LTD,342.19,1782643778.5506353
http,103.48.68.11,84,India,IN,Hyderabad,transparent,true,2.4,AS136290,Country Online Services PVT LTD,490.78,1782643778.2250164
http,103.69.90.214,8083,India,IN,Bopal,transparent,true,17.86,AS136373,Allied IT Infrastructure and Services PVT LTD,308.24,1782643778.1638434
http,103.74.144.5,80,India,IN,New Delhi,transparent,true,13.73,AS58965,Airmax Internet Private Limited,1423.11,1782643774.6626163
http,103.48.71.2,84,India,IN,Banjara Hills,transparent,true,5.71,AS136290,Country Online Services PVT LTD,1442.39,1782643773.6781404
http,103.172.254.145,84,India,IN,Hyderabad,transparent,true,7.42,AS133271,Willaegis Online Private Limited,680.46,1782643773.2491846
http,103.49.166.193,83,India,IN,Pune,transparent,true,25.73,AS150572,Nettvox Private Limited,383.18,1782643772.949396
http,103.181.92.250,83,India,IN,Pune,transparent,true,8.8,AS133710,Vishwakarma Broadband Private Limited,364.46,1782643771.2697213
http,103.148.62.1,8080,India,IN,Thane,transparent,true,12.69,AS137127,Rae Internet Service Provider Private Limited,5907.43,1782643770.8127494
http,202.62.75.38,84,India,IN,Hyderabad,transparent,true,7.39,AS17483,CityOnline Services,1525.22,1782643769.867904
http,103.48.68.30,82,India,IN,Hyderabad,transparent,true,2.16,AS136290,Country Online Services PVT LTD,372.39,1782643769.2694695
http,134.209.153.66,3128,India,IN,Bengaluru,transparent,true,14.22,AS14061,"DigitalOcean, LLC",5313.88,1782643766.3199089
http,139.167.218.162,3127,India,IN,Bengaluru,transparent,true,76.43,AS55836,Reliance Jio Infocomm Ltd,596.47,1782643765.1945305
http,202.157.67.40,8080,India,IN,Jaipur,elite,true,12.1,AS17753,Data Infosys Ltd,7721.87,1782643764.7697155
http,103.26.110.209,9256,India,IN,Mayiladuthurai,transparent,true,8.05,AS132774,Niss Networks,10264.35,1782643754.2028415
http,117.236.124.166,3128,India,IN,Gandhinagar,elite,true,75.76,AS9829,BSNL Internet,346.25,1782643743.1524363
http,103.169.154.4,83,India,IN,Bhubaneswar,transparent,true,8.16,AS142490,Speedpulse Fibernet PVT LTD,5687.29,1782643723.8648624
http,160.30.83.10,83,India,IN,Chennai,transparent,true,8.63,AS151749,Virtel Communications Private Limited,3692.74,1782643679.4638815
