protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,119.235.49.121,4153,India,IN,Guntur,elite,true,4.38,AS45582,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",791.14,1780451090.249284
socks4,45.89.106.116,1082,India,IN,New Delhi,elite,true,75.27,AS153914,NETRANEX TECHNOLOGIES (INDIA) PRIVATE LIMITED,4964.88,1780451088.3356633
socks4,136.233.136.41,43314,India,IN,Mangaluru,elite,true,36.86,AS55836,Reliance Jio Infocomm Limited,2279.04,1780451088.2654057
socks4,139.59.44.192,9050,India,IN,Bengaluru,elite,true,49.15,AS14061,"DigitalOcean, LLC",1419.45,1780451085.2385054
socks4,45.89.106.116,1081,India,IN,New Delhi,elite,true,72.98,AS153914,NETRANEX TECHNOLOGIES (INDIA) PRIVATE LIMITED,1444.18,1780451081.450279
socks4,178.212.35.124,9100,India,IN,Mumbai,elite,true,53.44,AS141995,Contabo Asia Private Limited,13512.23,1780451073.3682413
socks4,103.194.88.226,1080,India,IN,Noida,elite,true,82.89,AS134319,Elyzium Technologies Pvt. Ltd.,7996.52,1780451072.1994085
socks4,159.65.158.30,8888,India,IN,Bengaluru,elite,true,32.7,AS14061,"DigitalOcean, LLC",11591.44,1780451062.4893732
socks4,103.81.117.122,4153,India,IN,Rajkot,elite,true,6.65,AS135851,Excogitate Technologies Pvt. Ltd,771.21,1780451057.3728602
socks4,43.228.95.138,5678,India,IN,Anakapalle,elite,true,5.83,AS18229,Viswaroopa Info Services India Private ltd,1913.86,1780451048.3869202
socks4,103.59.203.201,4145,India,IN,Mumbai,elite,true,7.61,AS134014,NET 4 U SERVICES PVT LTD,636.12,1780451096.433472
