protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,109.224.12.170,52015,Iraq,IQ,Baghdad,elite,true,12.81,AS203214,Hulum,436.35,1781920797.3201022
http,109.127.82.4,8085,Iraq,IQ,Erbil,transparent,false,14.99,AS21277,Allay Nawroz Telecom Company for Communication/Ltd.,2612.19,1781920782.715416
socks5,31.25.139.82,21,Iraq,IQ,Erbil,elite,true,17.29,AS197882,Tarin General Trading and Setting Up Internet Device LTD,548.17,1781920777.1003294
http,185.166.24.191,1981,Iraq,IQ,Erbil,transparent,false,10.48,AS207097,Online Company Ltd,6865.83,1781920775.28384
http,62.201.217.243,40010,Iraq,IQ,Kelar,elite,true,21.15,AS44217,BAG,3266.15,1781920729.9873636
http,185.166.24.221,1976,Iraq,IQ,Erbil,transparent,false,6.96,AS207097,Online Company Ltd,12099.74,1781920711.9739664
http,45.81.146.7,8080,Iraq,IQ,Duhok,transparent,false,6.25,AS208859,Duhok Networks,12367.91,1781920698.5139103
http,185.166.24.191,1976,Iraq,IQ,Erbil,transparent,false,11.58,AS207097,Online Company Ltd,9211.63,1781920778.5279107
http,185.166.24.221,1981,Iraq,IQ,Erbil,transparent,false,22.29,AS207097,Online Company Ltd,5674.11,1781920771.4798706
http,185.135.69.34,80,Iraq,IQ,Al Mansour,elite,false,96.95,AS205889,Giganet Telecom,165.15,1781920720.2427707
