protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,37.32.11.155,1080,Iran,IR,Tehran,elite,true,80.43,AS202468,Noyan Abr Arvan Co. ( Private Joint Stock),564.23,1782272096.989674
socks4,80.191.40.130,5678,Iran,IR,Tehran,elite,true,32.79,AS58224,Telecommunication Company of Iran,7483.79,1782272094.7332737
http,185.172.214.189,8080,Iran,IR,Tehran,transparent,true,22.67,AS206854,"Lesun communication furtherance engineers Co, Ltd.",1549.7,1782272093.3737652
socks4,87.107.78.242,1543,Iran,IR,Tehran,elite,true,22.17,AS42337,Respina Networks & Beyond PJSC,7575.35,1782272093.2013106
socks5,37.32.11.155,1080,Iran,IR,Tehran,elite,true,41.71,AS202468,Noyan Abr Arvan Co. ( Private Joint Stock),2030.4,1782272076.5722344
socks4,46.245.123.30,1080,Iran,IR,Tehran,elite,true,35.1,AS43754,Asiatech Data Transmission company,1502.07,1782272066.6376607
socks4,80.191.40.131,5678,Iran,IR,Tehran,elite,true,25.08,AS58224,Telecommunication Company of Iran,1392.62,1782272065.9328356
socks4,81.91.157.134,5678,Iran,IR,Tehran,elite,true,48.08,AS206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,442.59,1782272061.4976995
http,46.209.30.11,8080,Iran,IR,Tehran,transparent,false,28.45,AS42337,Respina Networks & Beyond PJSC,16890.97,1782272058.3998723
socks4,5.160.247.48,8443,Iran,IR,Tehran,elite,true,21.16,AS42337,Respina Networks & Beyond PJSC,7603.81,1782272041.8142123
http,185.129.213.210,8080,Iran,IR,Tehran,transparent,false,25.14,AS49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),7488.8,1782272035.2678907
http,185.100.45.93,8080,Iran,IR,Tehran,transparent,false,29.56,AS200645,Fara Ertebat Mabna PJS,5943.68,1782272031.21452
http,5.202.120.123,3128,Iran,IR,Tehran,elite,false,24.76,AS49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),430.6,1782272005.9891198
http,80.191.46.62,1090,Iran,IR,Tehran,transparent,false,37.51,AS58224,Telecommunication Company of Iran,11613.89,1782272000.9918773
http,2.181.34.250,8080,Iran,IR,Babol,transparent,false,28.22,AS58224,Information Technology Company,16155.8,1782271913.2162018
http,130.185.72.173,3128,Iran,IR,Tehran,transparent,false,38.72,AS60631,Pars Parva System Ltd,8613.19,1782272065.6169996
http,213.207.198.254,8080,Iran,IR,Tehran,transparent,false,36.26,AS206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,816.32,1782272052.0667868
