protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,85.133.190.40,8097,Iran,IR,Tehran,transparent,true,94.37,AS39074,Sepanta Internet and MPLS Service Provider,2591.16,1783190394.79804
http,185.120.217.42,8090,Iran,IR,Tehran,transparent,true,60.08,AS201540,Pishgaman Toseeh Fanavari Etelaat Va Ertebatat Jonoub (Joint Stock Company),898.51,1783190390.7519417
http,185.60.136.237,3129,Iran,IR,Tehran,anonymous,true,56.95,AS21341,Soroush Rasanheh Company Ltd,5796.3,1783190388.4315102
http,46.34.165.86,443,Iran,IR,Tehran,transparent,true,38.7,AS206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,4619.02,1783190381.6962337
http,193.178.203.141,8080,Iran,IR,Isfahan,transparent,true,16.92,AS44375,AsmanFaraz ISDP,842.81,1783190381.6947675
http,37.143.147.34,1081,Iran,IR,Ahvaz,elite,false,89.88,AS58256,Rayaneh Gostar Farzanegan Ahvaz LTD,507.95,1783190380.7513037
http,5.202.52.103,6220,Iran,IR,Tehran,transparent,true,91.94,AS49100,PTE Network,1102.36,1783190373.3900042
http,81.16.113.168,8080,Iran,IR,Tehran,anonymous,false,27.73,AS58224,TIC,6284.94,1783190359.5998323
http,81.12.70.99,8080,Iran,IR,Tajrīsh,transparent,false,27.23,AS42337,Respina Networks & Beyond PJSC,6005.38,1783190355.2118418
http,37.191.78.17,7070,Iran,IR,Tehran,transparent,false,33.35,AS24631,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,11158.04,1783190354.370109
http,37.191.95.202,80,Iran,IR,Tehran,transparent,false,29.87,AS24631,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,5688.42,1783190337.4080243
http,185.129.213.210,8080,Iran,IR,Tehran,transparent,false,24.27,AS49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),7742.74,1783190336.9937959
http,37.143.147.34,1080,Iran,IR,Ahvaz,elite,false,30.23,AS58256,Rayaneh Gostar Farzanegan Ahvaz LTD,524.77,1783190332.7575164
http,5.200.72.62,3128,Iran,IR,Vaḩīdīyeh,elite,true,76.09,AS24631,Bahar Samaneh Shargh,609.88,1783190332.0195773
http,178.252.171.229,8080,Iran,IR,Tehran,transparent,false,21.47,AS51074,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock),12653.85,1783190323.3243783
http,195.181.40.34,8080,Iran,IR,Babol,transparent,false,20.08,AS58224,Iran Telecommunication Company PJS,1387.52,1783190309.6851645
http,79.127.30.250,8080,Iran,IR,Tehran,transparent,true,28.75,AS43754,Asiatech Data Transmission company,1760.36,1783190307.888466
http,185.193.209.1,8080,Iran,IR,Bushehr,transparent,true,30.32,AS48944,Khalij Fars Ettela Resan LTD,462.91,1783190305.6720152
http,213.207.198.254,8080,Iran,IR,Tehran,transparent,false,32.46,AS206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,2446.01,1783190344.4366553
