protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,188.121.124.79,2080,Iran,IR,Tehran,elite,true,70.79,AS202468,Noyan Abr Arvan Co. ( Private Joint Stock),824.22,1783911557.317405
http,5.160.200.109,8088,Iran,IR,Tehran,transparent,true,29.27,AS42337,Respina Networks & Beyond PJSC,3812.14,1783911542.8279598
http,5.202.52.101,6220,Iran,IR,Tehran,transparent,true,50.76,AS49100,PTE Network,4047.61,1783911535.8738058
http,5.202.52.103,6220,Iran,IR,Tehran,transparent,true,52.87,AS49100,PTE Network,1046.6,1783911531.3135035
http,81.12.32.130,10806,Iran,IR,Tehran,elite,true,51.21,AS198154,Pars Abr Toseeh Ertebatat LTD,271.9,1783911516.5123653
http,37.255.203.235,8080,Iran,IR,Isfahan,elite,true,39.39,AS58224,Iran Telecommunication Company PJS,3094.25,1783911515.735802
http,5.200.72.62,3128,Iran,IR,Vaḩīdīyeh,elite,true,59.49,AS24631,Bahar Samaneh Shargh,12339.83,1783911503.5930696
http,46.209.30.11,8080,Iran,IR,Tehran,transparent,true,32.83,AS42337,Respina Networks & Beyond PJSC,2444.0,1783911502.4496732
http,85.133.169.45,8118,Iran,IR,Tehran,elite,true,29.97,AS200554,Dade Pardaz Kimia Pouyesh PJS.,2127.34,1783911499.903355
http,185.129.213.210,8080,Iran,IR,Tehran,transparent,true,25.71,AS49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock),433.75,1783911588.4959667
http,2.180.22.218,80,Iran,IR,Mashhad,transparent,true,44.65,AS58224,mashhad,9500.15,1783911537.4354906
http,2.181.34.250,8080,Iran,IR,Babol,transparent,true,25.41,AS58224,Information Technology Company,1870.91,1783911529.1105142
http,185.193.209.1,8080,Iran,IR,Bushehr,transparent,true,30.38,AS48944,Khalij Fars Ettela Resan LTD,5376.54,1783911484.8483331
