protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,80.191.40.133,5678,Iran,IR,Tehran,elite,true,21.82,AS58224,Telecommunication Company of Iran,371.61,1783737565.3455672
socks4,5.160.247.48,8443,Iran,IR,Tehran,elite,true,19.64,AS42337,Respina Networks & Beyond PJSC,1453.0,1783737553.5452147
socks4,81.12.32.130,10806,Iran,IR,Tehran,elite,true,70.98,AS198154,Pars Abr Toseeh Ertebatat LTD,1589.44,1783737552.2739995
socks4,81.12.54.13,9122,Iran,IR,Tehran,elite,true,87.3,AS214922,FanAvaran Mihan Mizban PJSC,16493.38,1783737549.4921758
socks4,87.236.212.108,10808,Iran,IR,Tehran,elite,true,29.39,AS51026,Dade Pardazi Mobinhost Co LTD,673.75,1783737544.7472765
socks4,81.12.54.13,9084,Iran,IR,Tehran,elite,true,79.29,AS214922,FanAvaran Mihan Mizban PJSC,12172.33,1783737544.71251
socks4,46.245.123.30,1080,Iran,IR,Tehran,elite,true,32.39,AS43754,Asiatech Data Transmission company,1558.14,1783737542.9653986
socks4,79.175.188.203,443,Iran,IR,Tehran,elite,true,36.15,AS25184,AFranet Co,1376.63,1783737530.6945648
socks4,81.12.54.13,9090,Iran,IR,Tehran,elite,true,43.07,AS214922,FanAvaran Mihan Mizban PJSC,2676.09,1783737509.7334707
socks4,93.118.142.196,1093,Iran,IR,Tehran,elite,true,70.42,AS58224,Iran Telecommunication Company PJS,3921.37,1783737576.605909
