protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,149.62.186.244,1080,Italy,IT,Milan,elite,true,87.85,AS47242,Host SpA,1307.71,1781885999.7328906
http,93.42.151.100,4443,Italy,IT,Milan,transparent,false,21.62,AS12874,Fastweb SpA,232.01,1781885990.439443
socks4,194.146.164.66,37846,Italy,IT,Corigliano-Rossano,elite,true,85.04,AS202347,Europsys S.r.l.,7442.86,1781885989.5063562
socks4,5.59.248.134,8081,Italy,IT,Pomezia,elite,true,38.95,AS212271,Cinzia Tocci trading as Lumanex Srl,5739.99,1781885985.2935941
socks4,2.115.212.62,48293,Italy,IT,Furnari,elite,true,51.52,AS3269,Telecom Italia S.p.A,7445.93,1781885973.9573832
http,194.146.164.66,8080,Italy,IT,Corigliano-Rossano,transparent,false,26.2,AS202347,Europsys S.r.l.,4110.82,1781885959.675082
http,78.134.20.48,8080,Italy,IT,Pitigliano,transparent,false,9.04,AS35612,NGI,12751.62,1781885959.2662659
http,93.187.25.12,58080,Italy,IT,Siena,transparent,false,40.07,AS43960,Consorzio Terrecablate,4225.12,1781885912.8479102
http,5.59.248.134,8080,Italy,IT,Pomezia,elite,true,16.24,AS212271,Cinzia Tocci trading as Lumanex Srl,156.61,1781885911.1250052
http,93.43.251.159,80,Italy,IT,Turin,elite,false,4.28,AS12874,Fastweb Networks,14794.54,1781885904.9361992
http,195.231.69.203,80,Italy,IT,Ponte San Pietro,elite,false,70.72,AS31034,Aruba S.p.A.,57.27,1781885874.9379904
socks5,80.211.131.230,9050,Italy,IT,Arezzo,elite,true,25.87,AS31034,Aruba S.p.A. Network,16700.91,1781885872.7741663
socks5,5.59.248.134,8081,Italy,IT,Pomezia,elite,true,37.81,AS212271,Cinzia Tocci trading as Lumanex Srl,1188.18,1781885843.2826066
