protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,85.235.150.219,3128,Italy,IT,Arezzo,transparent,true,8.83,AS31034,Aruba S.p.A.,10225.63,1783790932.5658948
http,188.11.179.26,8443,Italy,IT,Crispi Cavour,transparent,false,13.61,AS3269,Telecom Italia S.p.A.IPTV Broadband Services,2846.67,1783790930.5657554
http,93.187.26.218,58080,Italy,IT,Siena,elite,false,27.32,AS43960,Consorzio Terrecablate,2806.47,1783790923.799908
http,185.191.106.41,8081,Italy,IT,Milan,transparent,false,23.05,AS44092,Mywic Costumers,4966.57,1783790923.527829
http,79.52.233.34,8081,Italy,IT,Rome,transparent,true,55.15,AS3269,INTERBUSINESS,4385.6,1783790910.8918
http,93.187.25.12,58080,Italy,IT,Siena,transparent,false,28.04,AS43960,Consorzio Terrecablate,4168.72,1783790907.7286766
http,194.183.1.205,8080,Italy,IT,Rome,transparent,false,22.13,AS5394,UNIDATA S.p.A.,3007.41,1783790849.7588718
http,87.121.148.126,49200,Italy,IT,Palazzago,elite,false,65.69,AS210218,Open Fiber S.P.A.,2452.62,1783790843.8138916
http,149.86.203.217,8080,Italy,IT,Santa Margherita d'Adige,transparent,false,5.66,AS60501,Sirius Technology SRL,3871.7,1783790962.8338041
http,212.77.75.25,3129,Italy,IT,Empoli,elite,true,28.38,AS15691,Leonet srl Empoli,11395.79,1783790851.5628703
