protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,8.221.138.111,31433,Japan,JP,Tokyo,elite,false,0.95,AS45102,"Alibaba (US) Technology Co., Ltd.",2492.81,1783921787.4596202
http,8.221.138.111,9000,Japan,JP,Tokyo,elite,true,1.24,AS45102,"Alibaba (US) Technology Co., Ltd.",2490.98,1783921780.531342
http,180.34.117.197,8080,Japan,JP,Yokohama,transparent,true,95.55,AS4713,NTT Communications Corporation,763.51,1783921775.5083976
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,86.69,AS31898,Oracle Corporation,706.22,1783921770.6138256
socks4,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,88.95,AS45102,"Alibaba (US) Technology Co., Ltd.",24375.74,1783921769.6458857
http,8.211.170.91,14680,Japan,JP,Tokyo,elite,true,43.47,AS45102,"Alibaba (US) Technology Co., Ltd.",752.95,1783921768.4710577
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,77.54,AS45102,"Alibaba (US) Technology Co., Ltd.",764.37,1783921767.6432257
http,140.227.61.201,3128,Japan,JP,Chiyoda City,transparent,false,11.9,AS2514,InfoSphere,3795.44,1783921762.97215
http,40.81.205.181,1080,Japan,JP,Tokyo,transparent,true,99.88,AS8075,Microsoft Corporation,785.87,1783921757.9645524
http,45.32.8.165,6688,Japan,JP,Minamishinagawa,elite,true,34.63,AS20473,Choopa,2769.96,1783921757.8998415
socks4,45.76.104.16,1080,Japan,JP,Minamishinagawa,elite,true,58.3,AS20473,The Constant Company,12218.19,1783921754.6146216
http,52.185.184.73,8561,Japan,JP,Tokyo,transparent,true,23.77,AS8075,Microsoft Corporation,17691.65,1783921746.5798786
socks5,34.84.162.206,38081,Japan,JP,Tokyo,elite,true,72.55,AS396982,Google LLC,1251.67,1783921726.1600401
socks4,31.57.172.220,10808,Japan,JP,Tokyo,elite,true,44.65,AS212336,ByteVirt LLC,12085.8,1783921725.694457
socks5,134.122.152.207,2080,Japan,JP,Chiyoda City,elite,true,89.22,AS152194,CTG Server Ltd.,1140.93,1783921701.740025
http,133.232.90.156,80,Japan,JP,Chiyoda City,elite,false,7.92,AS2514,"NTT PC Communications, Inc.",4053.76,1783921694.5319955
socks5,47.91.29.151,41451,Japan,JP,Tokyo,elite,true,1.4,AS45102,Alibaba.com LLC,6505.88,1783921395.5905595
socks5,47.91.29.151,9200,Japan,JP,Tokyo,elite,true,1.48,AS45102,Alibaba.com LLC,6471.61,1783921395.5592747
socks5,47.91.29.151,8080,Japan,JP,Tokyo,elite,true,1.25,AS45102,Alibaba.com LLC,6501.8,1783921392.792641
socks5,47.91.29.151,3129,Japan,JP,Tokyo,elite,true,1.46,AS45102,Alibaba.com LLC,6525.78,1783921391.7959585
socks5,47.79.32.164,1080,Japan,JP,Tokyo,elite,true,46.75,AS45102,Alibaba.com LLC,1533.08,1783921390.8255644
socks5,132.226.7.23,30277,Japan,JP,Tokyo,elite,true,46.69,AS31898,Oracle Corporation,16209.48,1783921376.28948
socks4,103.75.118.84,1080,Japan,JP,Tokyo,elite,true,97.11,AS136258,BrainStorm Network,1133.97,1783921797.7891924
socks5,168.138.210.69,1080,Japan,JP,Tokyo,elite,true,74.62,AS31898,Oracle Corporation,2781.17,1783921721.3129644
socks5,202.78.167.58,9050,Japan,JP,Tokyo,elite,true,28.73,AS202422,G-Core Labs S.A.,7952.35,1783921704.004316
http,157.101.165.36,80,Japan,JP,Chiyoda City,elite,false,20.44,AS2514,INTERLINK,9684.2,1783921634.6318939
socks5,103.75.118.84,1080,Japan,JP,Tokyo,elite,true,95.47,AS136258,BrainStorm Network,5194.06,1783921618.7467115
socks5,43.163.219.10,20000,Japan,JP,Tokyo,elite,true,20.24,AS132203,Shenzhen Tencent Computer Systems Company Limited,1453.41,1783921446.0439508
socks5,209.182.234.151,40000,Japan,JP,Tokyo,elite,true,31.67,AS29802,"HIVELOCITY, Inc.",18197.31,1783921584.5722566
