protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,116.80.78.146,3172,Japan,JP,Wakabayashi,transparent,true,26.35,AS2514,InfoSphere,3776.12,1781728479.270859
http,116.80.65.204,3172,Japan,JP,Shimomaruko,transparent,true,48.77,AS2514,InfoSphere,1753.61,1781728474.6643794
http,13.114.160.78,80,Japan,JP,Tokyo,elite,false,92.93,AS16509,Amazon Technologies Inc,3618.77,1781728466.5256
http,116.80.63.47,3172,Japan,JP,Shimomaruko,transparent,true,53.07,AS2514,InfoSphere,7839.91,1781728464.5878406
http,116.80.83.17,3172,Japan,JP,Shimomaruko,transparent,true,51.61,AS2514,InfoSphere,1734.02,1781728461.967882
http,172.235.214.102,1080,Japan,JP,Osaka,elite,true,76.0,AS63949,"Akamai Technologies, Inc.",7526.54,1781728454.3590515
http,172.235.198.182,1080,Japan,JP,Osaka,elite,false,65.65,AS63949,"Akamai Technologies, Inc.",1699.63,1781728453.52746
http,116.80.83.96,3172,Japan,JP,Shimomaruko,transparent,true,46.99,AS2514,InfoSphere,7865.6,1781728449.4438787
http,74.176.195.135,80,Japan,JP,Tokyo,elite,false,97.19,AS8075,Microsoft Corporation,740.78,1781728442.705678
http,116.80.50.229,3172,Japan,JP,Shimomaruko,transparent,true,54.57,AS2514,InfoSphere,1731.66,1781728441.2481053
http,31.57.172.220,10808,Japan,JP,Tokyo,elite,false,25.74,AS212336,ByteVirt LLC,16209.92,1781728436.8089435
http,116.80.83.16,3172,Japan,JP,Shimomaruko,transparent,true,48.92,AS2514,InfoSphere,1764.12,1781728432.931181
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,76.69,AS45102,"Alibaba (US) Technology Co., Ltd.",1685.66,1781728421.8006473
http,116.80.65.209,3172,Japan,JP,Shimomaruko,transparent,false,48.84,AS2514,InfoSphere,1744.62,1781728407.5315902
http,154.36.184.20,3128,Japan,JP,Tokyo,elite,true,19.3,AS979,NetLab Global,3371.7,1781728396.9178329
http,116.80.48.236,3172,Japan,JP,Shimomaruko,transparent,false,46.47,AS2514,InfoSphere,7914.41,1781728373.1239247
http,168.110.52.228,3128,Japan,JP,Tokyo,elite,true,77.64,AS31898,Oracle Corporation,708.62,1781728434.8684978
