protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,124.156.230.244,3128,Japan,JP,Tokyo,transparent,true,93.31,AS132203,Tencent Cloud Computing (Beijing) Co,1901.83,1783346388.458172
http,43.167.27.118,3128,Japan,JP,Tokyo,transparent,true,97.99,AS132203,Shenzhen Tencent Computer Systems Company Limited,826.59,1783346387.697709
http,43.133.187.166,3128,Japan,JP,Tokyo,transparent,true,96.33,AS132203,Shenzhen Tencent Computer Systems Company Limited,872.99,1783346384.002164
http,43.167.16.253,3128,Japan,JP,Tokyo,transparent,true,97.17,AS132203,Shenzhen Tencent Computer Systems Company Limited,869.98,1783346381.0389047
http,222.228.194.131,8080,Japan,JP,Shiki,anonymous,true,76.96,AS2519,ARTERIA Networks Corporation,4487.28,1783346378.4936578
http,43.133.30.18,3128,Japan,JP,Tokyo,transparent,true,97.47,AS132203,Aceville Pte.ltd,831.98,1783346372.23979
http,43.167.187.107,3128,Japan,JP,Tokyo,transparent,true,97.47,AS132203,Shenzhen Tencent Computer Systems Company Limited,6059.57,1783346371.9863338
http,43.167.214.133,3128,Japan,JP,Tokyo,transparent,true,94.58,AS132203,Shenzhen Tencent Computer Systems Company Limited,885.35,1783346371.442498
http,43.167.245.99,3128,Japan,JP,Tokyo,transparent,true,96.95,AS132203,Shenzhen Tencent Computer Systems Company Limited,816.33,1783346369.4618974
http,43.167.199.44,3128,Japan,JP,Tokyo,transparent,true,97.17,AS132203,Shenzhen Tencent Computer Systems Company Limited,3888.94,1783346365.6496513
http,43.133.169.167,3128,Japan,JP,Tokyo,transparent,true,97.19,AS132203,Shenzhen Tencent Computer Systems Company Limited,845.42,1783346365.365115
http,180.34.117.197,8080,Japan,JP,Yokohama,transparent,true,97.16,AS4713,NTT Communications Corporation,849.5,1783346364.1423109
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,99.37,AS31898,Oracle Corporation,799.95,1783346362.28374
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,77.34,AS45102,"Alibaba (US) Technology Co., Ltd.",795.68,1783346361.4862282
http,43.167.213.156,3128,Japan,JP,Tokyo,transparent,true,95.74,AS132203,Shenzhen Tencent Computer Systems Company Limited,1294.88,1783346359.7984414
http,43.167.165.123,1080,Japan,JP,Tokyo,elite,true,28.37,AS132203,Shenzhen Tencent Computer Systems Company Limited,829.55,1783346358.3162935
http,43.133.1.198,3128,Japan,JP,Tokyo,transparent,true,95.69,AS132203,Aceville Pte.ltd,821.59,1783346355.4229379
http,43.167.187.233,3128,Japan,JP,Tokyo,transparent,true,96.89,AS132203,Shenzhen Tencent Computer Systems Company Limited,2884.55,1783346355.239876
http,20.27.14.220,8561,Japan,JP,Tokyo,anonymous,true,19.29,AS8075,Microsoft Corporation,9213.2,1783346352.250157
http,43.167.171.85,3128,Japan,JP,Tokyo,transparent,true,96.87,AS132203,Shenzhen Tencent Computer Systems Company Limited,1631.89,1783346352.0038824
http,20.27.15.111,8561,Japan,JP,Tokyo,anonymous,true,19.39,AS8075,Microsoft Corporation,8344.18,1783346348.954702
http,20.27.13.35,8561,Japan,JP,Tokyo,anonymous,true,28.02,AS8075,Microsoft Corporation,9877.35,1783346345.793129
http,141.147.151.116,3128,Japan,JP,Osaka,elite,true,93.04,AS31898,Oracle Corporation,13893.76,1783346342.867855
http,43.133.15.47,3128,Japan,JP,Tokyo,transparent,true,96.85,AS132203,Aceville Pte.ltd,810.49,1783346340.1969028
http,43.167.13.115,3128,Japan,JP,Tokyo,transparent,true,97.0,AS132203,Shenzhen Tencent Computer Systems Company Limited,834.09,1783346328.5048137
