protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,139.162.68.93,1080,Japan,JP,Tokyo,elite,true,48.36,AS63949,"Akamai Technologies, Inc.",1489.59,1782512986.0399196
socks5,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,87.43,AS45102,"Alibaba (US) Technology Co., Ltd.",4428.19,1782512978.4568427
socks5,156.246.90.26,50161,Japan,JP,Tokyo,elite,true,54.33,AS61112,Akile LTD,8856.66,1782512946.4749668
socks5,74.113.233.217,1080,Japan,JP,Tokyo,elite,true,69.73,AS36007,"Kamatera, Inc.",1730.64,1782512944.0032532
socks5,139.162.108.209,1080,Japan,JP,Tokyo,elite,true,50.51,AS63949,"Akamai Technologies, Inc.",2487.46,1782512942.6505864
socks5,202.78.167.58,9050,Japan,JP,Tokyo,elite,true,21.03,AS202422,G-Core Labs S.A.,21383.38,1782512924.475865
socks5,66.42.34.255,1080,Japan,JP,Minamishinagawa,elite,true,41.26,AS20473,"The Constant Company, LLC",13904.03,1782512901.206151
socks5,140.238.43.53,54322,Japan,JP,Tokyo,elite,true,26.64,AS31898,Oracle Corporation,3414.32,1782512880.6049623
socks5,139.162.91.61,1080,Japan,JP,Tokyo,elite,true,46.03,AS63949,"Akamai Technologies, Inc.",8744.82,1782512805.3147988
socks5,198.13.63.73,1080,Japan,JP,Minamishinagawa,elite,true,73.18,AS20473,The Constant Company,11029.32,1782512733.8873613
socks5,168.138.210.69,1080,Japan,JP,Tokyo,elite,true,68.15,AS31898,Oracle Corporation,5602.64,1782512946.5660765
socks5,103.75.118.84,1080,Japan,JP,Tokyo,elite,true,94.55,AS136258,BrainStorm Network,3783.1,1782512939.1123803
