protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,154.79.251.168,1080,Kenya,KE,Nairobi,elite,true,60.51,AS36926,Airtel KE Mobile & Fixed Internet,812.44,1783875264.512461
socks4,197.155.73.230,1080,Kenya,KE,Nairobi,elite,true,67.19,AS30844,Liquid Telecommunications Ltd,999.97,1783875255.5032825
http,197.248.16.109,8080,Kenya,KE,Nairobi,transparent,false,25.44,AS37061,Safaricom Limited,9811.65,1783875253.0341797
http,102.209.76.106,8080,Kenya,KE,Nairobi,transparent,false,26.68,AS329422,Safhome Fibre Limited,3844.76,1783875245.9092107
http,197.232.23.40,8080,Kenya,KE,Nairobi,transparent,false,48.4,AS36866,Jamii Telecommunications Limited,3392.56,1783875234.4870608
http,197.248.75.221,8105,Kenya,KE,Nairobi,transparent,false,6.62,AS37061,Safaricom Limited,9581.92,1783875225.366754
http,102.211.146.31,8080,Kenya,KE,Nairobi,transparent,false,20.31,AS328490,Unwired Communications Limited,2259.71,1783875216.3367712
http,41.209.57.199,80,Kenya,KE,Nairobi,transparent,true,48.43,AS9129,MTN Business Kenya,6532.03,1783875197.5261066
http,102.213.179.210,8080,Kenya,KE,Nairobi,transparent,false,30.17,AS329261,NEXT THING NETWORKS Limited,6928.69,1783875190.5898635
http,102.68.77.3,8080,Kenya,KE,Nairobi,transparent,false,25.75,AS328490,Unwired Communications Ltd,9155.48,1783875157.6831355
http,41.79.9.229,8080,Kenya,KE,Imara Daima Estate,transparent,false,27.78,AS37305,Frontier Optical Networks Ltd,7553.68,1783875156.7255073
socks5,102.0.14.42,1080,Kenya,KE,Nairobi,elite,true,50.3,AS36926,Airtel KE Mobile & Fixed Internet,2196.76,1783875107.3308568
socks4,105.27.127.70,1080,Kenya,KE,Nairobi,elite,true,67.65,AS37100,SEACOM Limited,1832.45,1783875254.78125
