protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,102.211.145.161,8081,Kenya,KE,Nairobi,transparent,true,12.66,AS328490,Unwired Communications Ltd,1909.81,1783580949.6120012
http,197.232.23.40,8080,Kenya,KE,Nairobi,transparent,true,54.2,AS36866,Jamii Telecommunications Limited,4384.61,1783580941.850459
http,41.215.86.226,18080,Kenya,KE,Siakago,elite,false,89.11,AS15808,ACCESSKENYA,727.99,1783580938.315969
http,102.0.25.184,8080,Kenya,KE,Nairobi,transparent,false,21.58,AS36926,Airtel KE Mobile & Fixed Internet,6382.08,1783580917.5622733
http,102.209.76.106,8080,Kenya,KE,Nairobi,transparent,true,26.81,AS329422,Safhome Fibre Limited,10035.14,1783580895.6701667
http,102.213.179.210,8080,Kenya,KE,Nairobi,transparent,true,29.33,AS329261,NEXT THING NETWORKS Limited,5644.68,1783580886.2513466
http,102.0.18.198,8080,Kenya,KE,Nairobi,transparent,false,10.32,AS36926,Airtel KE Mobile & Fixed Internet,5575.26,1783580878.8598013
http,102.0.30.88,8080,Kenya,KE,Nairobi,transparent,false,25.43,AS36926,Airtel KE Mobile & Fixed Internet,955.79,1783580875.5830781
http,197.232.25.204,8080,Kenya,KE,Nairobi,transparent,false,11.59,AS36866,Jamii Telecommunications Limited,7114.67,1783580868.4688685
http,102.208.235.51,8080,Kenya,KE,Nairobi,transparent,true,29.36,AS329341,Tatu Telecom #PM94-AFRINIC,4522.93,1783580845.2382252
