protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,103.239.52.100,1080,Cambodia,KH,Phnom Penh,elite,true,56.02,AS23673,"COGETEL Co., Ltd",4496.86,1781019592.727577
socks5,202.62.52.20,1080,Cambodia,KH,Phnom Penh,elite,true,52.54,AS23673,"COGETEL Co., Ltd",1423.81,1781019589.408079
socks4,175.100.37.171,1080,Cambodia,KH,Phnom Penh,elite,true,72.07,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",8279.57,1781019584.6705854
socks4,124.248.164.36,1080,Cambodia,KH,Phnom Penh,elite,true,59.5,AS23673,"COGETEL Co., Ltd",2197.47,1781019583.2994182
http,36.37.155.160,8080,Cambodia,KH,Phnom Penh,transparent,false,11.79,AS38623,VIETTEL (CAMBODIA) PTE,4109.52,1781019578.031906
socks5,103.206.68.241,1080,Cambodia,KH,Phnom Penh,elite,true,48.22,AS23673,"COGETEL Co., Ltd",3047.02,1781019576.0039146
socks5,103.197.241.209,1080,Cambodia,KH,Battambang,elite,true,54.64,AS23673,"COGETEL Co., Ltd",8444.38,1781019564.676749
socks5,202.62.50.8,1080,Cambodia,KH,Phnom Penh,elite,true,15.06,AS23673,"COGETEL Co., Ltd",9270.26,1781019560.6427946
socks5,110.235.252.74,1080,Cambodia,KH,Phnom Penh,elite,true,54.77,AS23673,COGETEL Co,4429.58,1781019552.8739715
socks5,202.62.50.52,1080,Cambodia,KH,Phnom Penh,elite,true,51.37,AS23673,"COGETEL Co., Ltd",4153.56,1781019551.1845334
http,110.74.195.34,25,Cambodia,KH,Phnom Penh,elite,false,17.11,AS38901,"EZECOM CO., LTD.",5637.46,1781019550.4318864
http,119.15.84.74,8080,Cambodia,KH,Phnom Penh,transparent,false,26.06,AS24492,WiCAM Corporation Ltd,8771.15,1781019545.9024396
socks5,220.158.234.84,1080,Cambodia,KH,Phnom Penh,elite,true,99.58,AS38623,BUCT,1277.45,1781019545.3670082
http,49.156.44.116,8080,Cambodia,KH,Phnom Penh,transparent,false,36.85,AS24492,WiCAM Corporation,19972.18,1781019541.4426467
socks5,202.62.34.102,1080,Cambodia,KH,Phnom Penh,elite,true,54.95,AS23673,COGETEL Co,8539.18,1781019533.4030771
socks5,220.158.233.26,1080,Cambodia,KH,Phnom Penh,elite,true,99.35,AS38623,BUCT,5014.68,1781019531.181944
http,103.216.48.124,8080,Cambodia,KH,Phnom Penh,transparent,false,8.52,AS135375,Today Communication Co,5849.48,1781019529.3480282
socks5,220.158.232.118,1080,Cambodia,KH,Phnom Penh,elite,true,99.04,AS38623,BUCT,2710.85,1781019527.1356933
socks5,110.235.248.137,1080,Cambodia,KH,Phnom Penh,elite,true,32.59,AS23673,COGETEL Co,5416.16,1781019527.082481
socks5,203.189.135.73,1080,Cambodia,KH,Phnom Penh,elite,true,57.26,AS23673,COGETEL Co,3004.88,1781019514.678747
http,36.37.147.34,8080,Cambodia,KH,Phnom Penh,transparent,true,10.27,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",4785.08,1781019512.9359775
http,103.9.190.130,8080,Cambodia,KH,Phnom Penh,transparent,false,17.41,AS38901,"EZECOM CO., LTD.",8793.0,1781019511.840566
socks5,202.79.26.242,1080,Cambodia,KH,Phnom Penh,elite,true,53.7,AS24492,WiCAM Corporation Ltd.,4225.93,1781019492.2692368
socks5,110.235.247.105,1080,Cambodia,KH,Phnom Penh,elite,true,47.95,AS23673,COGETEL Co,5409.98,1781019478.730464
socks5,203.189.135.105,1080,Cambodia,KH,Phnom Penh,elite,true,57.36,AS23673,COGETEL Co,4985.03,1781019439.8727272
