protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,119.15.84.74,8080,Cambodia,KH,Phnom Penh,transparent,true,25.68,AS24492,WiCAM Corporation Ltd,7014.16,1780797269.54601
http,110.74.195.34,25,Cambodia,KH,Phnom Penh,elite,false,16.96,AS38901,"EZECOM CO., LTD.",3047.73,1780797257.5845613
http,175.100.34.177,8080,Cambodia,KH,Phnom Penh,transparent,false,9.13,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",7456.86,1780797225.866112
http,175.100.35.103,8080,Cambodia,KH,Phnom Penh,transparent,false,11.41,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",9682.34,1780797208.165882
http,49.156.44.166,8080,Cambodia,KH,Phnom Penh,transparent,true,22.29,AS24492,WiCAM Corporation,10902.92,1780797198.6800203
http,103.216.48.124,8080,Cambodia,KH,Phnom Penh,transparent,false,8.43,AS135375,Today Communication Co,5882.82,1780797221.5826526
http,203.171.252.7,8080,Cambodia,KH,Phnom Penh,transparent,false,10.75,AS38235,MEKONGNET,3782.53,1780797214.5908656
http,203.217.169.26,8080,Cambodia,KH,Phnom Penh,transparent,true,12.22,AS131207,S.I Group,5574.9,1780797190.3515348
http,103.9.190.130,8080,Cambodia,KH,Phnom Penh,transparent,false,17.1,AS38901,"EZECOM CO., LTD.",3557.46,1780797146.1358898
http,103.17.215.9,8089,Cambodia,KH,Phnom Penh,elite,false,28.02,AS24492,WiCAM Corporation Ltd,6776.29,1780797093.5280526
