protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,111.67.103.90,1080,Cambodia,KH,Phnom Penh,elite,true,52.59,AS139628,"Mega Truenet Communication Co., Ltd.",1227.23,1782628190.9956696
socks5,203.189.135.140,1080,Cambodia,KH,Phnom Penh,elite,true,56.02,AS23673,COGETEL Co,9055.03,1782628188.4971316
socks5,124.248.191.83,1080,Cambodia,KH,Phnom Penh,elite,true,61.27,AS23673,"COGETEL Co., Ltd",8695.88,1782628180.0572274
socks5,110.235.246.62,1080,Cambodia,KH,Phnom Penh,elite,true,51.58,AS23673,COGETEL Co,2552.17,1782628164.3454711
socks5,202.62.52.20,1080,Cambodia,KH,Phnom Penh,elite,true,52.25,AS23673,"COGETEL Co., Ltd",1795.18,1782628160.535541
socks5,202.62.50.52,1080,Cambodia,KH,Phnom Penh,elite,true,52.72,AS23673,"COGETEL Co., Ltd",3282.72,1782628157.6384997
socks5,43.230.193.154,1080,Cambodia,KH,Phnom Penh,elite,true,52.55,AS23673,COGETEL Co,2492.0,1782628152.245026
socks5,220.158.233.26,1080,Cambodia,KH,Phnom Penh,elite,true,99.06,AS38623,BUCT,4154.59,1782628144.2754877
socks5,103.239.52.100,1080,Cambodia,KH,Phnom Penh,elite,true,55.28,AS23673,"COGETEL Co., Ltd",1600.17,1782628112.0469928
socks5,202.62.52.120,1080,Cambodia,KH,Phnom Penh,elite,true,54.68,AS23673,"COGETEL Co., Ltd",3161.62,1782628109.423381
socks5,103.206.68.241,1080,Cambodia,KH,Phnom Penh,elite,true,49.68,AS23673,"COGETEL Co., Ltd",2423.53,1782628079.7985485
socks5,202.62.62.113,1080,Cambodia,KH,Phnom Penh,elite,true,58.55,AS23673,"COGETEL Co., Ltd",4512.64,1782628077.3505282
socks5,110.235.252.74,1080,Cambodia,KH,Phnom Penh,elite,true,55.83,AS23673,COGETEL Co,1746.62,1782628077.1541274
socks5,202.79.27.12,1080,Cambodia,KH,Phnom Penh,elite,true,50.18,AS24492,WiCAM Corporation Ltd.,1406.57,1782628024.2821555
socks5,203.189.135.105,1080,Cambodia,KH,Phnom Penh,elite,true,58.74,AS23673,COGETEL Co,1616.71,1782627983.9182365
socks5,220.158.232.118,1080,Cambodia,KH,Phnom Penh,elite,true,98.68,AS38623,BUCT,14885.73,1782627943.9362273
socks5,220.158.234.84,1080,Cambodia,KH,Phnom Penh,elite,true,99.7,AS38623,BUCT,4876.27,1782627878.4592354
