protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,121.139.218.165,43295,South Korea,KR,Ansan-si,elite,true,23.83,AS4766,Korea Telecom,1348.63,1782673173.0772874
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,91.07,AS45102,"Alibaba (US) Technology Co., Ltd.",668.36,1782673171.3546906
socks5,121.169.46.116,1090,South Korea,KR,Suwon,elite,true,94.61,AS4766,Korea Telecom,5355.87,1782673167.953706
http,183.110.216.128,8090,South Korea,KR,Seongnam-si,anonymous,false,56.95,AS4766,Korea Telecom,1295.31,1782673166.362233
http,129.154.217.238,8080,South Korea,KR,Seoul,elite,false,99.99,AS31898,Oracle Corporation,666.2,1782673164.5872545
socks4,114.108.177.104,60984,South Korea,KR,Daejeon,elite,true,22.61,AS3786,LG DACOM KIDC,4146.52,1782673162.8652625
socks5,8.213.134.213,8080,South Korea,KR,Seoul,elite,true,1.48,AS45102,"Alibaba (US) Technology Co., Ltd.",10071.93,1782673161.8250177
socks5,152.70.237.238,3128,South Korea,KR,Seoul,elite,true,47.29,AS31898,Oracle Corporation,3206.05,1782673160.2720983
socks5,49.167.236.96,1080,South Korea,KR,Mapo-gu,elite,true,12.05,AS17858,LG POWERCOMM,1915.5,1782673158.3062873
http,125.135.136.210,3056,South Korea,KR,Tongyeong,transparent,true,4.56,AS4766,Korea Telecom,1312.24,1782673155.2653017
http,121.146.163.32,3028,South Korea,KR,Changwon,transparent,true,3.29,AS4766,Korea Telecom,1289.29,1782673155.2627265
http,121.146.163.28,3124,South Korea,KR,Changwon,transparent,true,2.29,AS4766,Korea Telecom,1317.34,1782673155.2507212
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,95.14,AS9318,SK Broadband Co Ltd,720.87,1782673154.937508
http,121.146.163.28,3160,South Korea,KR,Changwon,transparent,true,3.07,AS4766,Korea Telecom,2296.77,1782673154.3565295
socks4,152.70.237.238,3128,South Korea,KR,Seoul,elite,true,52.17,AS31898,Oracle Corporation,4114.79,1782673149.572666
socks4,58.229.240.204,9050,South Korea,KR,Gwangjin-gu,elite,true,41.57,AS9318,SK Broadband Co Ltd,11440.31,1782673149.3480322
http,125.135.163.211,3044,South Korea,KR,Changwon,transparent,true,4.48,AS4766,KORNET,8439.69,1782673148.2625759
socks4,58.235.170.51,5678,South Korea,KR,Chilgok-gun,elite,true,63.59,AS9318,SK Broadband Co Ltd,2132.63,1782673147.5972886
http,183.110.216.128,8091,South Korea,KR,Seongnam-si,anonymous,false,56.92,AS4766,Korea Telecom,1301.79,1782673147.4281964
http,121.177.104.201,3072,South Korea,KR,Changwon,transparent,false,2.61,AS4766,Korea Telecom,3800.2,1782673143.5378582
http,183.110.216.159,8091,South Korea,KR,Seongnam-si,anonymous,false,57.05,AS4766,Korea Telecom,1286.12,1782673141.8243604
socks5,193.122.105.251,65535,South Korea,KR,Seoul,elite,true,18.61,AS31898,Oracle Corporation,3002.65,1782673140.494984
socks5,146.56.191.98,19422,South Korea,KR,Seoul,elite,true,25.45,AS31898,Oracle Corporation,19043.73,1782673135.7003484
socks4,130.162.141.185,52916,South Korea,KR,Seoul,elite,true,59.96,AS31898,Oracle Corporation,12422.33,1782673135.689532
socks5,129.154.217.238,8082,South Korea,KR,Seoul,elite,true,53.16,AS31898,Oracle Corporation,10761.63,1782673123.750096
socks4,8.220.205.172,8090,South Korea,KR,Seoul,elite,true,0.97,AS45102,"Alibaba (US) Technology Co., Ltd.",10591.5,1782673118.9616368
socks5,146.56.191.98,14785,South Korea,KR,Seoul,elite,true,23.04,AS31898,Oracle Corporation,12726.9,1782673104.2849007
http,146.56.182.165,3128,South Korea,KR,Seoul,transparent,false,9.6,AS31898,Oracle Corporation,14032.85,1782673091.316417
http,43.155.238.7,3128,South Korea,KR,Seoul,transparent,true,25.33,AS132203,Shenzhen Tencent Computer Systems Company Limited,13472.09,1782673081.8879468
http,183.110.216.159,8090,South Korea,KR,Seongnam-si,anonymous,false,56.94,AS4766,Korea Telecom,1313.04,1782673075.3855224
http,125.135.136.210,3180,South Korea,KR,Tongyeong,transparent,false,6.7,AS4766,Korea Telecom,12996.93,1782673071.4966512
http,175.194.173.105,3128,South Korea,KR,Goyang-si,elite,false,14.55,AS4766,Korea Telecom,4954.09,1782673021.7420602
