protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.249.37.107,8382,South Korea,KR,Buk-gu,elite,false,47.27,AS9318,SK Broadband Co Ltd,1381.75,1780459159.1949637
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,90.43,AS45102,"Alibaba (US) Technology Co., Ltd.",669.51,1780459157.3771994
http,175.198.235.18,3128,South Korea,KR,Bucheon-si,anonymous,true,99.79,AS4766,Korea Telecom,1165.87,1780459139.764123
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,false,94.27,AS9318,SK Broadband Co Ltd,11236.33,1780459139.4022834
http,183.110.216.128,8090,South Korea,KR,Seongnam-si,anonymous,false,53.58,AS4766,Korea Telecom,2055.22,1780459111.8026636
http,43.128.145.26,1080,South Korea,KR,Seoul,elite,true,97.25,AS132203,Shenzhen Tencent Computer Systems Company Limited,725.17,1780459110.325022
http,219.249.37.107,8197,South Korea,KR,Buk-gu,elite,false,84.3,AS9318,SK Broadband Co Ltd,1276.44,1780459104.7538698
http,183.110.216.159,8090,South Korea,KR,Seongnam-si,anonymous,false,53.56,AS4766,Korea Telecom,4054.81,1780459103.6051788
http,183.110.216.128,8091,South Korea,KR,Seongnam-si,anonymous,false,53.54,AS4766,Korea Telecom,8233.37,1780459103.1044319
http,183.110.216.159,8091,South Korea,KR,Seongnam-si,anonymous,false,53.67,AS4766,Korea Telecom,4070.6,1780459096.9540987
http,219.249.37.107,8380,South Korea,KR,Buk-gu,elite,false,85.42,AS9318,SK Broadband Co Ltd,1227.19,1780459095.362137
http,121.174.186.199,8080,South Korea,KR,Gangseo-gu,elite,true,33.39,AS4766,Korea Telecom,2025.79,1780459042.5598521
