protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,119.195.17.15,3100,South Korea,KR,Changwon,transparent,true,1.75,AS4766,Korea Telecom,6812.55,1781922874.2744339
http,221.167.81.223,3052,South Korea,KR,Suyeong-gu,transparent,true,2.38,AS4766,Korea Telecom,3759.34,1781922866.7372968
http,43.155.132.199,3128,South Korea,KR,Seoul,elite,true,73.04,AS132203,Shenzhen Tencent Computer Systems Company Limited,737.99,1781922865.2414167
http,221.167.80.109,3184,South Korea,KR,Suyeong-gu,transparent,true,2.72,AS4766,Korea Telecom,1712.21,1781922859.40843
http,125.135.163.211,3044,South Korea,KR,Changwon,transparent,true,2.01,AS4766,KORNET,1319.19,1781922842.4098752
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,90.82,AS45102,"Alibaba (US) Technology Co., Ltd.",3691.19,1781922841.8920584
http,125.135.136.210,3188,South Korea,KR,Tongyeong,transparent,true,2.07,AS4766,Korea Telecom,1243.07,1781922831.0039253
http,125.135.136.210,3176,South Korea,KR,Tongyeong,transparent,true,1.96,AS4766,Korea Telecom,1124.83,1781922829.0353742
http,119.195.17.15,3124,South Korea,KR,Changwon,transparent,true,2.03,AS4766,Korea Telecom,5550.57,1781922822.6691146
http,61.83.122.72,3172,South Korea,KR,Changnyeong,transparent,true,2.13,AS4766,Korea Telecom,3918.83,1781922821.6996744
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,94.81,AS9318,SK Broadband Co Ltd,946.85,1781922804.6516333
http,119.195.17.15,3056,South Korea,KR,Changwon,transparent,true,2.81,AS4766,Korea Telecom,9376.4,1781922784.7980635
http,43.155.238.7,3128,South Korea,KR,Seoul,transparent,true,26.18,AS132203,Shenzhen Tencent Computer Systems Company Limited,722.23,1781922783.5927985
http,221.167.81.223,3092,South Korea,KR,Suyeong-gu,transparent,true,3.21,AS4766,Korea Telecom,9824.0,1781922767.5800695
http,106.10.55.212,1121,South Korea,KR,Seongnam-si,transparent,true,32.94,AS135354,Naver Business Platform Asia Pacific Pte. Ltd.,662.85,1781922849.9777112
