protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,121.139.218.165,43295,South Korea,KR,Ansan-si,elite,true,18.93,AS4766,Korea Telecom,4177.08,1780537759.2775693
socks4,58.229.240.204,9050,South Korea,KR,Mapo-gu,elite,true,41.68,AS9318,SK Broadband Co Ltd,6115.4,1780537756.2185795
socks4,59.11.209.162,1080,South Korea,KR,Suwon,elite,true,92.81,AS4766,Korea Telecom,1312.11,1780537754.7395842
socks4,58.235.170.51,5678,South Korea,KR,Chilgok-gun,elite,true,62.64,AS9318,SK Broadband Co Ltd,2130.26,1780537751.765514
socks4,8.220.204.215,31433,South Korea,KR,Seoul,elite,true,1.26,AS45102,"Alibaba (US) Technology Co., Ltd.",10651.36,1780537734.5612526
socks4,8.220.204.215,5060,South Korea,KR,Seoul,elite,true,1.43,AS45102,"Alibaba (US) Technology Co., Ltd.",10712.48,1780537732.447214
socks4,8.220.204.215,443,South Korea,KR,Seoul,elite,true,1.62,AS45102,"Alibaba (US) Technology Co., Ltd.",11203.65,1780537730.4452035
socks4,158.247.241.3,1080,South Korea,KR,Seoul,elite,true,42.68,AS20473,"The Constant Company, LLC",5076.1,1780537796.789284
socks4,203.232.107.6,2080,South Korea,KR,Bupyeong-gu,elite,true,98.62,AS4766,Korea Telecom,2776.12,1780537778.8536656
socks4,211.245.23.166,1080,South Korea,KR,Incheon,elite,true,44.87,AS9318,SK Broadband Co Ltd,1278.23,1780537767.419859
