protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,72.56.3.17,1080,Kazakhstan,KZ,Almaty,elite,true,88.42,AS9123,"JSC ""TIMEWEB""",628.28,1782773052.824534
socks4,176.12.72.62,1080,Kazakhstan,KZ,Almaty,elite,true,35.27,AS205431,Netfire TEC,6804.25,1782773044.789323
socks5,89.169.37.254,1080,Kazakhstan,KZ,Astana,elite,true,42.46,AS205516,NLS ASTANA LLP,2631.83,1782773041.3787699
socks5,45.136.59.143,1080,Kazakhstan,KZ,Aktau,elite,true,66.03,AS208450,NIPIneftegaz,3658.64,1782773024.1549904
socks5,89.40.233.13,1080,Kazakhstan,KZ,Astana,elite,true,100.0,AS205516,Voxility SRL,443.91,1782773022.3681962
socks4,199.189.255.230,1080,Kazakhstan,KZ,Almaty,elite,true,44.96,AS205431,Netfire TEC,3800.97,1782773017.1378534
http,2.78.60.10,3129,Kazakhstan,KZ,Almaty,transparent,true,98.57,AS29355,Kcell JSC,862.47,1782773017.0117888
socks4,46.8.31.104,1080,Kazakhstan,KZ,Karaganda,elite,true,35.8,AS203087,PE Fedinyak Sergey Vyacheslavovich,2268.28,1782773013.513227
http,199.189.255.230,8080,Kazakhstan,KZ,Almaty,elite,false,39.27,AS205431,Netfire TEC,6367.96,1782773005.2971375
http,176.12.72.62,3128,Kazakhstan,KZ,Almaty,elite,false,20.1,AS205431,Netfire TEC,12993.91,1782772999.7007153
socks5,199.189.249.175,8080,Kazakhstan,KZ,Almaty,elite,true,41.06,AS205431,Netfire TEC,6235.94,1782772992.2907202
http,199.189.255.230,1080,Kazakhstan,KZ,Almaty,elite,true,38.61,AS205431,Netfire TEC,3565.27,1782772971.8119175
