protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,199.189.255.230,1080,Kazakhstan,KZ,Almaty,elite,true,45.19,AS205431,Netfire TEC,6271.83,1783233573.2566388
http,176.12.72.62,3128,Kazakhstan,KZ,Almaty,elite,false,20.1,AS205431,Netfire TEC,2612.86,1783233526.6684566
http,193.124.204.164,9999,Kazakhstan,KZ,Astana,anonymous,false,26.64,AS41798,JSC Transtelecom,15177.84,1783233523.9311678
http,91.229.151.118,8080,Kazakhstan,KZ,Shymkent,transparent,false,26.45,AS202293,D-Cloud LLC,4921.85,1783233523.1198645
http,178.170.221.75,8443,Kazakhstan,KZ,Almaty,elite,false,34.81,AS48096,ALM,5103.32,1783233507.913944
http,194.58.42.209,8118,Kazakhstan,KZ,Almaty,elite,false,20.0,AS41798,JSC Transtelecom,11202.76,1783233493.952131
http,89.218.175.84,8080,Kazakhstan,KZ,Atyrau,transparent,true,13.52,AS9198,JSC Kazakhtelecom,3809.46,1783233438.8011947
http,2.78.60.10,3129,Kazakhstan,KZ,Almaty,transparent,true,98.64,AS29355,Kcell JSC,862.94,1783233582.2342894
http,199.189.255.230,8080,Kazakhstan,KZ,Almaty,elite,true,46.94,AS205431,Netfire TEC,1599.92,1783233580.0719483
http,93.170.73.0,8081,Kazakhstan,KZ,Almaty,elite,false,21.8,AS42447,EQU Technologies LLP,12205.06,1783233554.3598373
