protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,72.56.3.17,1080,Kazakhstan,KZ,Almaty,elite,true,87.42,AS9123,"JSC ""TIMEWEB""",634.95,1782838755.5731947
socks5,89.40.233.13,1080,Kazakhstan,KZ,Astana,elite,true,100.0,AS205516,Voxility SRL,705.13,1782838751.7890322
socks5,199.189.249.175,8080,Kazakhstan,KZ,Almaty,elite,true,41.53,AS205431,Netfire TEC,8252.04,1782838744.1680906
socks5,213.148.6.12,7777,Kazakhstan,KZ,Almaty,elite,true,46.82,AS48988,Modern Server Solutions LLP,1752.24,1782838741.349945
socks5,46.8.31.104,1080,Kazakhstan,KZ,Karaganda,elite,true,32.7,AS203087,PE Fedinyak Sergey Vyacheslavovich,16025.76,1782838736.9188375
socks5,193.47.43.18,10801,Kazakhstan,KZ,Astana,elite,true,69.36,AS207333,ADMINVPS,783.82,1782838734.3493104
socks5,92.46.70.174,1080,Kazakhstan,KZ,Astana,elite,true,41.07,AS9198,JSC Kazakhtelecom,4016.84,1782838732.9607604
socks5,89.169.37.254,1080,Kazakhstan,KZ,Astana,elite,true,42.86,AS205516,NLS ASTANA LLP,775.72,1782838729.1786826
socks5,176.12.74.0,1080,Kazakhstan,KZ,Almaty,elite,true,34.8,AS205431,Netfire TEC,6883.72,1782838710.2956786
socks5,176.12.72.62,1080,Kazakhstan,KZ,Almaty,elite,true,34.78,AS205431,Netfire TEC,10534.92,1782838685.4287322
socks5,45.136.59.143,1080,Kazakhstan,KZ,Aktau,elite,true,63.47,AS208450,NIPIneftegaz,1735.45,1782838683.8057601
