protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,45.81.254.174,9080,Lithuania,LT,Vilnius,elite,true,99.02,AS212853,MB Redfox Cloud,1277.28,1783928364.7117047
socks4,45.81.254.174,9118,Lithuania,LT,Vilnius,elite,true,65.23,AS212853,MB Redfox Cloud,1868.59,1783928358.1508465
socks4,45.81.254.174,9084,Lithuania,LT,Vilnius,elite,true,52.45,AS212853,MB Redfox Cloud,9807.33,1783928357.8324535
socks4,45.81.254.174,9091,Lithuania,LT,Vilnius,elite,true,82.27,AS212853,MB Redfox Cloud,4076.5,1783928346.7757912
socks5,45.81.254.174,9080,Lithuania,LT,Vilnius,elite,true,97.76,AS212853,MB Redfox Cloud,3846.84,1783928336.7257278
socks5,45.81.254.174,9118,Lithuania,LT,Vilnius,elite,true,55.48,AS212853,MB Redfox Cloud,5202.96,1783928335.8128748
socks5,45.81.254.174,9091,Lithuania,LT,Vilnius,elite,true,67.5,AS212853,MB Redfox Cloud,2916.46,1783928333.7320373
http,89.40.2.194,3128,Lithuania,LT,Vilnius,transparent,true,50.74,AS212531,"UAB ""Interneto vizija""",112.28,1783928307.7599385
socks5,45.81.254.174,9084,Lithuania,LT,Vilnius,elite,true,47.47,AS212853,MB Redfox Cloud,5516.82,1783928251.6737304
socks5,78.63.115.20,8899,Lithuania,LT,Vilnius,elite,true,41.98,AS8764,Telia Lietuva,7318.7,1783928073.5079987
