protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,159.148.146.65,5678,Latvia,LV,Riga,elite,true,58.82,AS2588,"SIA ""BITE Latvija""",154.61,1783221863.3509312
socks4,31.170.17.141,4153,Latvia,LV,Saldus,elite,true,6.2,AS42099,DNET ITRisinajumi Ltd.,7363.78,1783221854.8585434
socks4,185.236.22.192,9050,Latvia,LV,Riga,elite,true,35.46,AS41745,Baykov Ilya Sergeevich,14905.87,1783221847.2113657
http,45.130.212.97,8119,Latvia,LV,Riga,elite,false,14.32,AS9002,RETN Limited,5391.76,1783221837.673679
socks5,185.176.220.23,9050,Latvia,LV,Riga,elite,true,31.02,AS39845,2 Cloud Ltd,12107.85,1783221832.3216436
http,13.140.17.206,3128,Latvia,LV,Riga,transparent,true,36.62,AS42532,SIA VEESP,8701.45,1783221828.347096
socks5,185.236.22.192,9050,Latvia,LV,Riga,elite,true,34.58,AS41745,Baykov Ilya Sergeevich,15009.09,1783221822.177317
socks5,37.128.207.56,8443,Latvia,LV,Riga,elite,true,100.0,AS42532,SIA VEESP,167.49,1783221776.4493403
socks5,45.130.212.97,8119,Latvia,LV,Riga,elite,true,14.63,AS9002,RETN Limited,5092.37,1783221883.3179445
socks4,185.176.220.23,9050,Latvia,LV,Riga,elite,true,31.68,AS39845,2 Cloud Ltd,10482.12,1783221877.4013548
