protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,102.38.29.36,8080,Libya,LY,Tripoli,transparent,false,8.93,AS328539,GZA,2075.48,1783272867.523301
http,102.38.30.24,8080,Libya,LY,Tripoli,transparent,true,26.46,AS328539,GZA,5768.53,1783272853.8678331
http,102.68.128.210,8080,Libya,LY,Tripoli,transparent,false,8.67,AS21003,"LTT Autonomous System, Tripoli Libya",9004.99,1783272853.584285
http,102.68.135.157,8080,Libya,LY,Tripoli,anonymous,false,9.07,AS21003,"LTT Autonomous System, Tripoli Libya",11901.49,1783272851.7785313
http,165.16.92.193,8104,Libya,LY,Tripoli,transparent,false,8.63,AS37284,Aljeel Aljadeed For Technology,2164.79,1783272840.8894136
http,102.68.135.147,8080,Libya,LY,Tripoli,transparent,true,13.06,AS21003,"LTT Autonomous System, Tripoli Libya",3055.3,1783272818.9730186
http,102.38.13.9,18000,Libya,LY,Tripoli,transparent,false,4.64,AS328539,Giga for Telecommunication and Technology Limited,12993.11,1783272809.2899246
http,165.16.27.36,1981,Libya,LY,Benghazi,transparent,false,6.35,AS37284,Aljeel Aljadeed For Technology,16354.85,1783272791.9238427
http,102.38.13.9,19000,Libya,LY,Tripoli,transparent,false,8.04,AS328539,Giga for Telecommunication and Technology Limited,7615.26,1783272781.3438234
http,165.16.2.250,9999,Libya,LY,Benghazi,transparent,false,13.22,AS37284,Aljeel Aljadeed For Technology,1983.14,1783272842.4869587
