protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,154.73.28.241,8080,Libya,LY,Tripoli,transparent,false,9.85,AS21003,Rawafed,8930.69,1780682929.376586
http,154.73.29.157,8080,Libya,LY,Tripoli,transparent,false,14.3,AS21003,Rawafed,7433.04,1780682921.1580768
http,41.254.48.190,1976,Libya,LY,Tripoli,elite,true,11.23,AS21003,LTT Network Backbone and POPs,10660.57,1780682908.3723009
http,154.127.78.16,44444,Libya,LY,Waddān,transparent,false,11.01,AS37284,Aljeel Aljadeed For Technology,4412.64,1780682861.865115
http,102.38.29.36,8080,Libya,LY,Tripoli,transparent,false,8.39,AS328539,GZA,2794.44,1780682819.1707573
http,165.16.92.193,8104,Libya,LY,Tripoli,transparent,true,8.1,AS37284,Aljeel Aljadeed For Technology,11690.48,1780682985.9491017
http,165.16.22.114,9999,Libya,LY,Benghazi,transparent,false,35.06,AS37284,Aljeel Aljadeed For Technology,4121.09,1780682977.673548
http,165.16.2.234,9999,Libya,LY,Benghazi,transparent,true,7.87,AS37284,Aljeel Aljadeed For Technology,2839.15,1780682938.8777728
http,62.68.48.22,8080,Libya,LY,Tripoli,transparent,true,14.32,AS21003,LTT Network Backbone and POPs,1005.98,1780682929.5328734
http,165.16.58.131,8080,Libya,LY,Tripoli,transparent,false,22.33,AS37284,Aljeel Aljadeed For Technology,932.9,1780682895.0049672
http,165.16.59.65,8080,Libya,LY,Tripoli,transparent,true,9.89,AS37284,Aljeel Aljadeed For Technology,7183.24,1780682886.84273
http,165.16.17.189,8080,Libya,LY,Benghazi,transparent,false,32.7,AS37284,Aljeel Aljadeed Technology,9425.55,1780682868.5802388
