protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,41.254.48.190,1976,Libya,LY,Tripoli,elite,true,16.33,AS21003,LTT Network Backbone and POPs,231.63,1783307950.4679368
http,102.38.29.36,8080,Libya,LY,Tripoli,transparent,true,8.94,AS328539,GZA,3840.33,1783307942.0666006
http,102.38.13.9,18000,Libya,LY,Tripoli,transparent,true,4.64,AS328539,Giga for Telecommunication and Technology Limited,9167.82,1783307939.9369004
http,102.68.135.157,8080,Libya,LY,Tripoli,anonymous,true,9.09,AS21003,"LTT Autonomous System, Tripoli Libya",7277.03,1783307939.015883
http,102.38.30.24,8080,Libya,LY,Tripoli,transparent,true,26.44,AS328539,GZA,8210.46,1783307935.9719207
http,102.38.30.138,8080,Libya,LY,Tripoli,transparent,true,20.93,AS328539,GZA,2375.12,1783307827.4216979
http,102.68.128.216,8080,Libya,LY,Tripoli,transparent,true,16.78,AS21003,"LTT Autonomous System, Tripoli Libya",1344.43,1783307811.4335349
http,165.16.92.193,8103,Libya,LY,Tripoli,transparent,true,7.88,AS37284,Aljeel Aljadeed For Technology,241.82,1783307951.855769
http,165.16.22.114,9999,Libya,LY,Benghazi,transparent,true,24.99,AS37284,Aljeel Aljadeed For Technology,292.27,1783307947.217871
http,165.16.58.124,8080,Libya,LY,Tripoli,transparent,true,9.47,AS37284,Aljeel Aljadeed For Technology,1456.18,1783307944.5253172
