protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,187.190.58.152,8081,Mexico,MX,Mazatlán,transparent,false,16.55,AS22884,Total Play Telecomunicaciones SA De CV,4309.4,1782603578.7220254
http,38.49.148.147,999,Mexico,MX,Huamantla,transparent,false,11.05,AS28458,IENTC S de RL de CV,10863.46,1782603569.5681055
http,38.49.133.226,999,Mexico,MX,Silao,transparent,false,15.01,AS28458,IENTC S de RL de CV,4957.42,1782603568.0878713
http,45.174.248.16,999,Mexico,MX,Morelia,transparent,true,2.87,AS265582,Wifmax S.A de C.V.,4592.25,1782603565.336014
http,38.19.111.74,8080,Mexico,MX,Tehuacán,transparent,false,52.52,AS273300,Tecnologias FEM S.a.s De C.V,8843.92,1782603565.3301935
http,45.174.168.45,999,Mexico,MX,Tulancingo,transparent,false,26.63,AS265579,Telecomunicaciones Otomies,5078.74,1782603561.1764712
http,38.123.220.173,999,Mexico,MX,San Francisco de Guzmán,transparent,false,9.57,AS174,Cogent Communications,5065.0,1782603560.841369
http,187.190.127.212,80,Mexico,MX,Puerto Vallarta,transparent,false,14.29,AS22884,Total Play Telecomunicaciones SA De CV,9469.72,1782603557.6518514
http,38.194.246.34,999,Mexico,MX,Los Ramírez,transparent,false,43.94,AS28458,IENTC S de RL de CV,5612.13,1782603557.5749571
http,131.196.245.120,999,Mexico,MX,La Cañada,transparent,false,24.47,AS265561,Lantointernet SA De CV,11110.04,1782603549.6398528
http,187.190.114.59,999,Mexico,MX,Poza Rica,transparent,false,16.55,AS22884,Total Play Telecomunicaciones SA De CV,10090.06,1782603546.801204
http,45.174.168.38,999,Mexico,MX,Tulancingo,transparent,false,28.2,AS265579,Telecomunicaciones Otomies,8549.31,1782603545.3758504
http,45.174.56.21,999,Mexico,MX,Puruándiro,transparent,false,14.53,AS270187,2M INGENIERIA Y SERVICIOS EN TELECOMUNICACIONES,4035.68,1782603544.8558297
http,187.248.75.114,8081,Mexico,MX,Poza Rica,transparent,false,9.69,AS32098,Transtelco Inc,1989.81,1782603543.635803
http,201.159.104.121,8081,Mexico,MX,General Escobedo,transparent,false,4.91,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,3738.91,1782603537.6958704
http,38.194.253.30,999,Mexico,MX,Apaseo el Alto,transparent,false,10.4,AS28458,IENTC S de RL de CV,8513.38,1782603534.7118979
http,148.224.14.179,999,Mexico,MX,Uruapan,transparent,false,12.75,AS270186,Jorge Luis Torres Fernandez,2686.14,1782603533.399879
http,187.190.114.92,999,Mexico,MX,Poza Rica,transparent,true,17.35,AS22884,Total Play Telecomunicaciones SA De CV,7178.91,1782603527.0960622
http,189.203.181.34,8080,Mexico,MX,Cuauhtémoc,transparent,false,6.75,AS22884,Total Play Telecomunicaciones SA De CV,14407.78,1782603520.2338207
http,38.49.152.195,999,Mexico,MX,El Pueblito,transparent,false,11.31,AS28458,IENTC S de RL de CV,11529.09,1782603514.0778298
http,148.224.14.181,999,Mexico,MX,Uruapan,transparent,false,12.62,AS270186,Jorge Luis Torres Fernandez,9974.1,1782603507.5599217
socks5,159.54.148.142,1080,Mexico,MX,La Cañada,elite,true,88.41,AS31898,Oracle Corporation,4448.56,1782603503.3138096
http,45.174.243.20,999,Mexico,MX,Campeche,transparent,true,14.61,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,14739.13,1782603498.7560906
http,200.92.201.126,999,Mexico,MX,San Felipe,transparent,false,9.28,AS262916,"Mega Cable, S.A. de C.V.",11516.34,1782603487.5813138
http,45.177.178.194,999,Mexico,MX,Pedro Escobedo,transparent,false,23.18,AS270158,Wantelco SAS de CV,13169.87,1782603464.335847
http,45.174.168.44,999,Mexico,MX,Tulancingo,transparent,false,27.97,AS265579,Telecomunicaciones Otomies,6146.62,1782603450.3891802
http,206.135.55.224,999,Mexico,MX,Pachuca,transparent,true,92.03,AS28458,GTT Americas,430.42,1782603596.3471348
