protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,45.174.243.20,999,Mexico,MX,Champotón,transparent,true,12.77,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,1625.38,1780343971.8399317
http,201.159.109.137,8081,Mexico,MX,General Escobedo,transparent,false,18.76,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,2879.82,1780343966.8630393
http,154.16.41.18,5555,Mexico,MX,Campeche,elite,true,9.18,AS32159,Gung HO LLC,1964.21,1780343966.6504014
http,38.194.246.34,999,Mexico,MX,Los Ramírez,transparent,true,42.07,AS28458,IENTC S de RL de CV,5105.08,1780343959.6274402
http,170.0.231.254,999,Mexico,MX,Villa de Almoloya de Juárez,transparent,false,7.31,AS265510,EJA TELECOMM S DE RL,6956.4,1780343956.2821302
http,177.242.137.182,999,Mexico,MX,Metepec,transparent,false,11.27,AS262916,"Mega Cable, S.A. de C.V.",7289.32,1780343954.1838658
http,38.156.15.156,999,Mexico,MX,Teocaltiche,transparent,false,10.74,AS265622,Wistarip Networks,5273.77,1780343947.4678266
http,201.159.104.229,8081,Mexico,MX,General Escobedo,transparent,false,11.5,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,9439.9,1780343943.595854
http,148.230.4.146,999,Mexico,MX,Naranjos,transparent,false,23.77,AS265606,Digy Networks,5388.96,1780343943.0035906
http,38.210.201.56,999,Mexico,MX,Aguascalientes,transparent,false,29.92,AS273250,Soluciones de Tecnologia Jah sa de Cv,2885.41,1780343940.5222259
http,38.65.175.68,3128,Mexico,MX,Ezequiel Montes,transparent,false,13.28,AS270158,Wantelco SAS de CV,16644.1,1780343938.3918967
http,187.251.224.167,8081,Mexico,MX,León,transparent,false,14.2,AS22884,Total Play Telecomunicaciones SA De CV,8363.62,1780343931.2698462
http,177.229.197.94,999,Mexico,MX,Tapachula,transparent,false,24.03,AS13999,"Mega Cable, S.A. de C.V.",7012.27,1780343917.6414943
http,177.242.132.38,999,Mexico,MX,Culiacán,transparent,false,9.75,AS262916,"Mega Cable, S.A. de C.V.",5378.35,1780343906.6958425
http,187.243.251.66,999,Mexico,MX,Ahome,transparent,false,13.71,AS13999,"Mega Cable, S.A. de C.V.",4448.78,1780343899.6518753
http,148.230.15.181,999,Mexico,MX,Francisco I. Madero,transparent,false,10.52,AS265606,Digy Networks,4715.96,1780343882.0767558
http,45.174.241.241,999,Mexico,MX,Champotón,transparent,false,11.54,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,10301.77,1780343865.4719577
http,187.251.224.167,80,Mexico,MX,León,transparent,false,14.61,AS22884,Total Play Telecomunicaciones SA De CV,8107.95,1780343850.4758286
http,187.251.230.15,8080,Mexico,MX,Dos Ríos,transparent,false,11.11,AS22884,Total Play Telecomunicaciones SA De CV,4387.64,1780343842.3005831
http,148.230.4.241,999,Mexico,MX,Naranjos,transparent,false,88.99,AS265606,Digy Networks,7629.91,1780343817.3611958
http,38.49.152.197,999,Mexico,MX,Irapuato,transparent,false,13.11,AS28458,IENTC S de RL de CV,10041.23,1780343794.262519
http,201.139.115.38,8082,Mexico,MX,Puebla City,elite,false,18.25,AS32098,Transtelco Inc,13203.03,1780343786.5792208
