protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,148.230.4.241,999,Mexico,MX,Naranjos,transparent,true,88.97,AS265606,Digy Networks,1392.72,1780364396.62398
http,38.210.201.108,999,Mexico,MX,Aguascalientes,transparent,true,28.17,AS273250,Soluciones de Tecnologia Jah sa de Cv,4565.41,1780364392.695984
http,38.194.253.30,999,Mexico,MX,Apaseo el Alto,transparent,true,9.6,AS28458,IENTC S de RL de CV,1662.5,1780364388.5465364
http,45.189.252.49,999,Mexico,MX,Alvarado,transparent,true,13.4,AS265613,Tracered SA De CV,3650.76,1780364372.9838927
http,38.194.250.174,999,Mexico,MX,Tepepatlaxco,transparent,true,26.8,AS28458,IENTC S de RL de CV,8909.54,1780364371.5518677
http,38.210.201.64,999,Mexico,MX,Aguascalientes,transparent,true,22.83,AS273250,Soluciones de Tecnologia Jah sa de Cv,8351.67,1780364357.7949495
http,38.49.148.149,999,Mexico,MX,Huamantla,transparent,true,14.79,AS28458,IENTC S de RL de CV,1868.92,1780364346.9936256
http,168.194.0.249,252,Mexico,MX,Nuevo Laredo,transparent,true,56.18,AS28411,Aire Cable S.A. de C.V.,4064.76,1780364339.0073013
http,45.174.243.192,999,Mexico,MX,Champotón,transparent,true,28.52,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,4361.27,1780364297.8382576
http,38.49.148.147,999,Mexico,MX,Huamantla,transparent,true,10.28,AS28458,IENTC S de RL de CV,5015.32,1780364271.711482
http,200.92.201.126,999,Mexico,MX,San Felipe,transparent,true,8.41,AS262916,"Mega Cable, S.A. de C.V.",4055.54,1780364375.1040971
http,201.159.109.137,8081,Mexico,MX,General Escobedo,transparent,true,19.05,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,5660.62,1780364347.876746
http,45.174.243.128,999,Mexico,MX,Champotón,transparent,true,23.18,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,5315.03,1780364310.7247534
http,45.174.175.26,999,Mexico,MX,Paraiso,transparent,true,32.17,AS28435,Javier Tamayo Garcia,8111.04,1780364304.8716464
http,201.144.20.238,3128,Mexico,MX,Mexico City,transparent,true,5.99,AS8151,UNINET,14657.92,1780364133.652992
