protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.93.101.63,80,Malaysia,MY,Kota Kinabalu,anonymous,false,79.28,AS4788,ADSL Streamyx Telekom Malaysia,644.03,1780661361.36306
http,219.93.101.62,80,Malaysia,MY,Kota Kinabalu,anonymous,false,90.12,AS4788,ADSL Streamyx Telekom Malaysia,618.92,1780661358.3859158
socks4,47.250.159.65,443,Malaysia,MY,Kuala Lumpur,elite,true,1.19,AS45102,"Alibaba (US) Technology Co., Ltd.",3354.3,1780661345.4036062
socks4,47.250.159.65,6969,Malaysia,MY,Kuala Lumpur,elite,true,0.91,AS45102,"Alibaba (US) Technology Co., Ltd.",4346.04,1780661343.7869496
socks4,47.250.159.65,8889,Malaysia,MY,Kuala Lumpur,elite,true,0.94,AS45102,"Alibaba (US) Technology Co., Ltd.",6381.37,1780661341.9314048
socks4,47.250.159.65,3129,Malaysia,MY,Kuala Lumpur,elite,true,1.18,AS45102,"Alibaba (US) Technology Co., Ltd.",10655.76,1780661339.4491124
http,219.93.101.60,80,Malaysia,MY,Kota Kinabalu,anonymous,false,81.1,AS4788,ADSL Streamyx Telekom Malaysia,638.29,1780661325.515984
http,175.139.233.79,80,Malaysia,MY,Puchong,anonymous,false,31.51,AS4788,TM TECHNOLOGY SERVICES SDN BHD,17848.14,1780661323.985191
http,175.139.233.78,80,Malaysia,MY,Puchong,anonymous,false,72.04,AS4788,TM TECHNOLOGY SERVICES SDN BHD,13845.88,1780661305.3907247
http,60.53.176.79,8080,Malaysia,MY,Batu Pahat,transparent,false,35.36,AS4788,TM TECHNOLOGY SERVICES SDN BHD,9555.17,1780661265.9856706
http,219.93.111.125,9412,Malaysia,MY,Chemor,transparent,false,8.13,AS4788,ADSL Streamyx Telekom Malaysia,3785.42,1780661254.9581022
http,47.250.155.254,19,Malaysia,MY,Kuala Lumpur,elite,false,0.73,AS45102,"Alibaba (US) Technology Co., Ltd.",2344.31,1780661181.935898
