protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,47.250.155.254,8085,Malaysia,MY,Kuala Lumpur,elite,false,1.69,AS45102,"Alibaba (US) Technology Co., Ltd.",2351.17,1780301970.054231
http,47.250.155.254,8080,Malaysia,MY,Kuala Lumpur,elite,true,1.16,AS45102,"Alibaba (US) Technology Co., Ltd.",2349.55,1780301964.4448845
http,175.139.233.78,80,Malaysia,MY,Puchong,anonymous,false,71.29,AS4788,TM TECHNOLOGY SERVICES SDN BHD,4762.45,1780301945.8510058
http,47.250.11.111,11,Malaysia,MY,Kuala Lumpur,elite,false,1.04,AS45102,Alibaba Cloud LLC,2342.18,1780301939.3106782
http,175.139.233.79,80,Malaysia,MY,Puchong,anonymous,false,31.02,AS4788,TM TECHNOLOGY SERVICES SDN BHD,9108.31,1780301935.4878185
http,219.93.101.63,80,Malaysia,MY,Kota Kinabalu,anonymous,false,78.61,AS4788,ADSL Streamyx Telekom Malaysia,1061.51,1780301915.2326782
http,58.84.16.214,1231,Malaysia,MY,Putrajaya,transparent,false,9.89,AS38182,Extreme Broadband,4446.07,1780301910.959875
http,47.250.11.111,81,Malaysia,MY,Kuala Lumpur,elite,true,1.07,AS45102,Alibaba Cloud LLC,5383.28,1780301905.1213613
http,219.93.101.62,80,Malaysia,MY,Kota Kinabalu,anonymous,false,89.97,AS4788,ADSL Streamyx Telekom Malaysia,539.35,1780301863.713331
http,219.93.101.60,80,Malaysia,MY,Kota Kinabalu,anonymous,false,80.74,AS4788,ADSL Streamyx Telekom Malaysia,596.82,1780301863.6601813
http,175.138.75.137,8080,Malaysia,MY,Kuala Lumpur,transparent,true,8.18,AS4788,TM TECHNOLOGY SERVICES SDN BHD,5694.67,1780301844.2839339
