protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.250.115.134,1080,Malaysia,MY,Kuala Lumpur,elite,true,90.66,AS45102,Alibaba Cloud LLC,1044.29,1783217976.658541
socks5,47.250.11.111,111,Malaysia,MY,Kuala Lumpur,elite,true,1.72,AS45102,Alibaba Cloud LLC,6340.73,1783217930.9871633
socks5,47.250.11.111,199,Malaysia,MY,Kuala Lumpur,elite,true,0.75,AS45102,Alibaba Cloud LLC,6362.86,1783217927.5368154
socks5,47.250.11.111,8081,Malaysia,MY,Kuala Lumpur,elite,true,1.63,AS45102,Alibaba Cloud LLC,13533.48,1783217923.5870864
socks5,47.250.11.111,10000,Malaysia,MY,Kuala Lumpur,elite,true,1.53,AS45102,Alibaba Cloud LLC,13650.36,1783217923.2414985
socks5,47.250.11.111,808,Malaysia,MY,Kuala Lumpur,elite,true,1.59,AS45102,Alibaba Cloud LLC,13396.18,1783217922.9554524
socks5,47.250.11.111,3128,Malaysia,MY,Kuala Lumpur,elite,true,1.55,AS45102,Alibaba Cloud LLC,13524.09,1783217922.3085256
socks5,47.250.11.111,81,Malaysia,MY,Kuala Lumpur,elite,true,1.57,AS45102,Alibaba Cloud LLC,13544.6,1783217922.2898116
socks5,47.250.11.111,4002,Malaysia,MY,Kuala Lumpur,elite,true,1.57,AS45102,Alibaba Cloud LLC,13478.93,1783217920.3195186
socks5,47.250.177.202,8888,Malaysia,MY,Kuala Lumpur,elite,true,1.38,AS45102,"Alibaba (US) Technology Co., Ltd.",6329.43,1783217858.7577999
socks5,47.250.177.202,1081,Malaysia,MY,Kuala Lumpur,elite,true,1.47,AS45102,"Alibaba (US) Technology Co., Ltd.",9418.03,1783217853.2180839
