protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,102.36.231.77,1080,Nigeria,NG,Irewe,elite,true,57.78,AS328555,Timeless Network Services Ltd,617.75,1783897184.458904
socks4,154.113.167.70,5678,Nigeria,NG,Lagos,elite,true,12.29,AS37282,Main one Cable Company Nigeria Limited,592.79,1783897180.9560766
socks4,154.113.170.1,5678,Nigeria,NG,Benin City,elite,true,11.71,AS37282,Main one Cable Company Nigeria Limited,587.96,1783897178.437307
http,129.222.204.27,10000,Nigeria,NG,Lagos,transparent,false,28.93,AS14593,Space Exploration Technologies Corporation,6895.94,1783897158.3473213
http,155.93.96.210,8080,Nigeria,NG,Abuja,transparent,true,13.5,AS16284,Vodacom Business Nigeria,18163.87,1783897144.3313794
http,154.113.147.14,8080,Nigeria,NG,Lagos,transparent,true,33.38,AS37282,Main one Cable Company Nigeria Limited,1996.22,1783897125.3445845
http,41.184.92.219,80,Nigeria,NG,Abuja,anonymous,false,54.2,AS29091,ipNX Nigeria Limited,634.16,1783897065.8671987
socks4,154.113.17.107,5678,Nigeria,NG,Lagos,elite,true,5.0,AS37282,Main one Cable Company Nigeria Limited,1593.51,1783897164.3229072
http,154.113.209.162,8082,Nigeria,NG,Abuja,transparent,false,21.99,AS37282,Main one Cable Company Nigeria Limited,4645.12,1783897129.3238199
socks5,213.111.130.38,1080,Nigeria,NG,Lagos,elite,true,99.79,AS8849,Melbikomas UAB,6181.76,1783896982.8455935
socks5,213.111.130.27,1080,Nigeria,NG,Lagos,elite,true,99.14,AS8849,Melbikomas UAB,2440.46,1783896818.3835137
