protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,81.90.29.194,10808,The Netherlands,NL,Amsterdam,elite,true,90.39,AS215540,Global Connectivity Solutions LLP,1384.74,1782452399.4347262
socks4,140.82.59.192,1080,The Netherlands,NL,Amsterdam,elite,true,79.5,AS20473,The Constant Company,4502.92,1782452393.6513112
socks4,64.188.77.26,1080,The Netherlands,NL,Amsterdam,elite,true,54.57,AS209693,OC NETWORKS LIMITED,6327.5,1782452393.539269
socks4,144.124.233.244,9016,The Netherlands,NL,Amsterdam,elite,true,40.5,AS216071,Servers Tech Fzco,10518.08,1782452392.8328633
socks4,35.204.249.130,1080,Netherlands,NL,Groningen,elite,true,16.51,AS396982,Google LLC,9072.43,1782452390.7558072
http,45.84.222.25,1080,The Netherlands,NL,Amsterdam,elite,true,81.88,AS215439,Play2go International Limited,3240.75,1782452390.5679522
socks4,194.87.31.221,2000,The Netherlands,NL,Amsterdam,elite,true,88.04,AS215540,Global Connectivity Solutions LLP,85.78,1782452389.5064533
socks5,79.137.198.159,42771,The Netherlands,NL,Amsterdam,elite,true,29.12,AS210644,Aeza International LTD,2839.86,1782452389.0166855
http,64.188.77.221,3128,The Netherlands,NL,Amsterdam,elite,false,29.05,AS209693,OC NETWORKS LIMITED,974.68,1782452388.9568114
socks4,146.103.110.73,1080,The Netherlands,NL,Amsterdam,elite,true,45.74,AS216071,Servers Tech Fzco,4106.78,1782452388.5483809
socks4,185.125.203.104,40760,The Netherlands,NL,Amsterdam,elite,true,30.81,AS210976,"Timeweb, LLP",8359.01,1782452385.9012265
socks5,128.199.37.92,1080,The Netherlands,NL,Amsterdam,elite,true,60.39,AS14061,"DigitalOcean, LLC",14350.38,1782452385.4487762
socks5,64.188.77.26,1080,The Netherlands,NL,Amsterdam,elite,true,43.06,AS209693,OC NETWORKS LIMITED,1584.7,1782452385.2649314
socks4,46.8.112.212,1080,The Netherlands,NL,Amsterdam,elite,true,41.47,AS215305,Mastersoft S.R.L.,134.22,1782452384.6245077
socks4,45.84.222.25,1080,The Netherlands,NL,Amsterdam,elite,true,85.67,AS215439,Play2go International Limited,2933.18,1782452383.2949195
socks4,46.161.27.244,995,The Netherlands,NL,Rotterdam,elite,true,36.47,AS43350,NForce Entertainment B.V.,4310.42,1782452382.637559
http,185.200.176.134,8080,The Netherlands,NL,Amsterdam,elite,true,20.07,AS216154,Clodo Cloud Service CO. L.L.C,15018.79,1782452380.4018977
socks4,45.130.201.172,1080,The Netherlands,NL,Naaldwijk,elite,true,42.74,AS49981,WorldStream B.V.,14901.32,1782452380.3704345
socks4,45.159.189.203,1080,The Netherlands,NL,Amsterdam,elite,true,28.71,AS14576,Hosting Solution Ltd.,1310.85,1782452377.977795
socks5,154.83.140.184,52123,The Netherlands,NL,Amsterdam,elite,true,40.55,AS200758,Datagear LLP,12483.5,1782452377.6471093
socks5,92.119.164.84,1080,The Netherlands,NL,Amsterdam,elite,true,43.52,AS211507,Julian Achter,2389.13,1782452376.386131
socks5,92.119.164.84,1081,The Netherlands,NL,Amsterdam,elite,true,53.11,AS211507,Julian Achter,15294.01,1782452373.8224325
socks5,185.125.203.104,40760,The Netherlands,NL,Amsterdam,elite,true,24.26,AS210976,"Timeweb, LLP",9263.7,1782452373.6423662
socks4,128.199.37.92,1080,The Netherlands,NL,Amsterdam,elite,true,67.71,AS14061,"DigitalOcean, LLC",11444.21,1782452373.3452718
socks5,64.188.77.221,1080,The Netherlands,NL,Amsterdam,elite,true,40.69,AS209693,OC NETWORKS LIMITED,438.0,1782452373.0736082
