protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,79.137.205.130,7443,The Netherlands,NL,Amsterdam,elite,true,97.04,AS210644,Aeza International LTD,39.49,1782208190.3794947
http,45.88.174.195,8080,The Netherlands,NL,Amsterdam,elite,true,71.73,AS216154,Clodo Cloud Service CO. L.L.C,70.42,1782208189.211995
http,138.124.113.102,7443,The Netherlands,NL,Amsterdam,elite,true,97.35,AS210644,Aeza International LTD,40.11,1782208188.4059584
http,37.49.224.15,3128,The Netherlands,NL,Amsterdam,elite,true,97.63,AS3920,PUSHPKT OU,732.94,1782208186.6835842
http,64.188.77.26,3128,The Netherlands,NL,Amsterdam,elite,true,28.61,AS209693,OC NETWORKS LIMITED,3831.33,1782208183.9688601
http,185.11.134.227,8443,The Netherlands,NL,Amsterdam,elite,true,97.32,AS210976,"Timeweb, LLP",439.08,1782208178.071649
http,191.44.125.66,8080,The Netherlands,NL,Amsterdam,transparent,false,28.01,AS216472,High Speed For Internet Services L.L.C,6740.03,1782208165.6203082
http,64.188.62.23,8890,The Netherlands,NL,Amsterdam,transparent,true,31.26,AS210976,"Timeweb, LLP",12021.81,1782208158.850268
http,45.89.244.174,3128,The Netherlands,NL,Amsterdam,transparent,false,52.52,AS56971,CGI GLOBAL LIMITED,10030.72,1782208147.3318877
http,81.90.29.194,10808,The Netherlands,NL,Amsterdam,elite,true,82.35,AS215540,Global Connectivity Solutions LLP,2811.31,1782208134.7062976
http,43.245.224.148,3128,The Netherlands,NL,Amsterdam,transparent,true,25.97,AS57043,Hostkey B.V.,12448.05,1782208134.6678236
http,144.31.70.112,3128,The Netherlands,NL,Amsterdam,elite,false,8.41,AS213877,U1 DIGITAL SERVICES LTD,3076.2,1782208122.8919048
http,45.84.222.25,1080,The Netherlands,NL,Amsterdam,elite,true,82.45,AS215439,Play2go International Limited,2046.56,1782208110.008188
http,164.90.201.255,3128,The Netherlands,NL,Amsterdam,transparent,true,16.73,AS14061,"DigitalOcean, LLC",12517.1,1782208104.219855
http,188.166.12.117,3128,The Netherlands,NL,Amsterdam,transparent,false,55.37,AS14061,"DigitalOcean, LLC",10324.46,1782208088.720649
http,216.57.107.50,8445,The Netherlands,NL,Amsterdam,elite,false,49.64,AS210976,"Timeweb, LLP",1513.12,1782208071.482493
http,212.69.84.153,3128,The Netherlands,NL,Amsterdam,elite,true,100.0,AS57043,Hostkey B.V.,138.95,1782208190.1154041
