protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,31.172.74.200,3128,Netherlands,NL,Rotterdam,elite,true,97.22,AS16003,Fornex Hosting S.L.,3175.15,1780827255.618809
http,151.243.153.157,8118,Netherlands,NL,Amsterdam,elite,true,73.82,,Private Customer,690.49,1780827248.5389533
http,64.188.62.23,8890,Netherlands,NL,Amsterdam,transparent,true,47.15,AS210976,"Timeweb, LLP",50.44,1780827246.439503
http,160.238.65.4,3128,The Netherlands,NL,Amsterdam,transparent,true,21.44,AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED,124.55,1780827245.4738915
http,66.151.33.12,3128,Netherlands,NL,Amsterdam,transparent,true,24.89,AS57043,Hostkey B.V.,13288.66,1780827236.7605627
http,147.45.226.234,3128,The Netherlands,NL,Amsterdam,elite,true,66.67,AS210976,"Timeweb, LLP",13596.21,1780827235.7345507
http,138.124.52.204,3128,Netherlands,NL,Amsterdam,elite,true,46.56,AS210644,Aeza International LTD,11217.55,1780827233.663199
http,188.166.64.58,1234,Netherlands,NL,Amsterdam,elite,true,10.86,AS14061,"DigitalOcean, LLC",14069.36,1780827227.2160976
http,85.192.29.60,3128,Netherlands,NL,Amsterdam,elite,true,63.38,AS210644,Aeza International LTD,4901.91,1780827218.3038595
http,45.12.255.106,3128,Netherlands,NL,Amsterdam,transparent,true,33.97,AS57043,Hostkey B.V.,13106.75,1780827217.5750434
http,147.75.34.105,443,Netherlands,NL,Amsterdam,elite,true,84.83,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,7949.58,1780827215.1155732
http,117.55.203.162,8899,Netherlands,NL,Amsterdam,elite,true,100.0,AS3920,PUSHPKT OU,96.39,1780827213.6431723
http,77.239.108.24,3128,Netherlands,NL,Amsterdam,elite,true,30.37,AS215590,DpkgSoft International Limited,3570.36,1780827203.2756763
http,37.49.224.15,3128,The Netherlands,NL,Amsterdam,elite,true,99.78,AS3920,PUSHPKT OU,43.89,1780827197.984892
http,194.48.141.156,3128,Netherlands,NL,Eygelshoven,transparent,true,26.36,AS50053,Anton Levin,10862.61,1780827184.2054143
http,5.129.227.157,3128,Netherlands,NL,Amsterdam,transparent,true,14.83,AS210976,"Timeweb, LLP",14162.68,1780827176.1497009
http,117.55.203.161,8899,Netherlands,NL,Amsterdam,elite,true,100.0,AS3920,PUSHPKT OU,285.26,1780827167.6196597
http,194.58.57.116,3128,The Netherlands,NL,Amsterdam,transparent,true,37.51,AS210976,"Timeweb, LLP",11672.02,1780827146.0719516
http,80.89.237.150,3128,Netherlands,NL,Oude Meer,transparent,true,39.98,AS211381,Podaon SIA,14886.23,1780827142.4318185
http,43.245.224.148,3128,Netherlands,NL,Amsterdam,transparent,true,28.82,AS57043,Hostkey B.V.,1802.16,1780827285.951401
http,212.118.42.203,3128,The Netherlands,NL,Amsterdam,transparent,true,70.83,AS216071,Servers Tech Fzco,9234.28,1780827275.2443132
http,160.238.65.9,3128,The Netherlands,NL,Amsterdam,transparent,true,21.46,AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED,83.87,1780827264.6787848
http,160.238.65.5,3128,The Netherlands,NL,Amsterdam,transparent,true,21.55,AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED,1060.22,1780827258.6810358
http,160.238.65.6,3128,The Netherlands,NL,Amsterdam,transparent,true,21.16,AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED,116.86,1780827256.0046885
http,160.238.65.7,3128,The Netherlands,NL,Amsterdam,transparent,true,20.98,AS142019,GZ REMITTANCE (CHINA) INDUSTRY LIMITED,109.61,1780827253.8867059
http,164.90.201.255,3128,Netherlands,NL,Amsterdam,transparent,true,15.33,AS14061,"DigitalOcean, LLC",11996.47,1780827245.061251
http,45.148.60.56,3128,Netherlands,NL,Amsterdam,transparent,true,44.4,AS210429,Hizakura B.V.,13900.42,1780827230.1300144
