protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,194.87.31.221,2000,The Netherlands,NL,Amsterdam,elite,true,87.71,AS215540,Global Connectivity Solutions LLP,4103.19,1782750545.1373847
socks4,213.176.113.24,50001,The Netherlands,NL,Amsterdam,elite,true,95.66,AS210644,Aeza International LTD,1069.41,1782750542.4450123
socks4,68.183.7.53,9100,The Netherlands,NL,Amsterdam,elite,true,30.27,AS14061,"DigitalOcean, LLC",12727.14,1782750539.9393966
socks4,199.47.241.120,9050,The Netherlands,NL,Amsterdam,elite,true,18.85,AS60781,LeaseWeb Netherlands B.V.,8757.39,1782750536.0751927
socks4,194.135.38.119,2333,The Netherlands,NL,Amsterdam,elite,true,29.15,AS210976,"Timeweb, LLP",15729.13,1782750535.8122501
socks4,81.90.29.194,10808,The Netherlands,NL,Amsterdam,elite,true,93.3,AS215540,Global Connectivity Solutions LLP,5949.96,1782750529.8284202
socks4,172.86.75.243,7301,The Netherlands,NL,Amsterdam,elite,true,29.01,AS399629,BL Networks NL,5410.12,1782750527.3085155
socks4,185.200.176.134,1080,The Netherlands,NL,Amsterdam,elite,true,42.84,AS216154,Clodo Cloud Service CO. L.L.C,9253.26,1782750526.8095016
socks4,146.0.77.29,9050,The Netherlands,NL,Amsterdam,elite,true,21.49,AS57043,HOSTKEY,9740.64,1782750524.8088865
socks4,144.124.233.244,9016,The Netherlands,NL,Amsterdam,elite,true,38.49,AS216071,Servers Tech Fzco,12551.6,1782750514.5090292
socks4,146.103.125.38,9051,The Netherlands,NL,Amsterdam,elite,true,35.06,AS216071,Servers Tech Fzco,13294.78,1782750510.7966795
socks4,195.160.223.99,9050,The Netherlands,NL,Haarlem,elite,true,44.38,AS43641,SOLLUTIUM EU Sp z.o.o.,10332.75,1782750503.4936264
