protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,118.91.175.146,5678,Nepal,NP,Kathmandu,elite,true,43.02,AS24550,Websurfer Nepal Communication System Pvt. Ltd,907.35,1780682946.3871372
http,182.93.85.225,8080,Nepal,NP,Mahottari,elite,false,5.97,AS4007,Subisu D85,5395.58,1780682901.8799849
http,103.124.97.12,8080,Nepal,NP,Pokhara,transparent,false,10.92,AS138388,Pokhara Internet Pvt. Ltd,10314.61,1780682893.2676196
http,49.236.212.134,8888,Nepal,NP,Kathmandu,elite,false,10.15,AS55915,Classic Tech Pvt. Ltd,8473.43,1780682866.3141174
http,103.167.229.147,8080,Nepal,NP,Janakpur Dham,transparent,false,8.22,AS140072,Fiberworld Communication Pvt. Ltd,9217.12,1780682834.3129218
http,43.245.85.46,808,Nepal,NP,Patan,transparent,true,20.97,AS45650,Vianet,10461.02,1780682815.4476378
http,116.90.224.50,8080,Nepal,NP,Kathmandu,transparent,false,12.82,AS24550,Websurfer Nepal Communication System Pvt. Ltd,7262.99,1780682763.3146722
http,110.34.1.178,7777,Nepal,NP,Kathmandu,transparent,false,17.32,AS4007,Subisu Cablenet,2139.83,1780682749.009383
socks4,202.166.219.80,4153,Nepal,NP,Kathmandu,elite,true,7.1,AS17501,WorldLink Communications,838.86,1780682991.8569782
socks4,202.166.196.105,48293,Nepal,NP,Kathmandu,elite,true,62.09,AS17501,WorldLink Communications,3904.92,1780682970.3174627
