protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.124.97.12,8080,Nepal,NP,Pokhara,transparent,false,11.45,AS138388,Pokhara Internet Pvt. Ltd,7613.42,1781058218.1679015
http,182.93.85.225,8080,Nepal,NP,Mahottari,elite,false,6.02,AS4007,Subisu D85,1547.34,1781058217.0468197
http,103.114.25.21,8088,Nepal,NP,Narayan,transparent,false,7.4,AS137580,Everest Wireless Network pvt. ltd,5311.8,1781058198.63378
http,110.34.1.178,7777,Nepal,NP,Kathmandu,transparent,true,18.47,AS4007,Subisu Cablenet,3533.8,1781058191.2427874
http,110.34.13.4,8080,Nepal,NP,Kathmandu,transparent,false,3.59,AS4007,Subisu Cablenet,3624.93,1781058182.433159
http,139.5.75.83,8080,Nepal,NP,Patan,transparent,false,35.7,AS17501,WLINK,1840.26,1781058168.211495
http,103.167.229.147,8080,Nepal,NP,Janakpur Dham,transparent,false,8.28,AS140072,Fiberworld Communication Pvt. Ltd,3476.33,1781058154.5205727
http,116.90.224.50,8080,Nepal,NP,Kathmandu,transparent,true,13.42,AS24550,Websurfer Nepal Communication System Pvt. Ltd,3513.57,1781058136.93097
http,103.114.25.6,8088,Nepal,NP,Narayan,transparent,false,7.02,AS137580,Everest Wireless Network pvt. ltd,12743.62,1781058023.4774468
http,43.245.85.46,808,Nepal,NP,Patan,transparent,true,21.92,AS45650,Vianet,7840.34,1781058278.5298266
http,202.166.217.188,2121,Nepal,NP,Kathmandu,transparent,false,10.06,AS17501,WorldLink Communications,8399.31,1781058268.33509
