protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.19.228.188,999,Peru,PE,Lima,transparent,true,25.86,AS273133,Conex TV E.I.R.L,11360.7,1783312155.2838597
http,38.252.215.196,999,Peru,PE,Breña,transparent,false,10.08,AS274156,Cogent Communications,7567.25,1783312152.528887
http,190.108.82.247,999,Peru,PE,Challabamba,transparent,false,36.13,AS18678,Internexa S.a. E.S.P,11058.41,1783312110.5466433
http,38.183.183.114,999,Peru,PE,Huaura,transparent,false,10.29,AS273084,Forza Bussines S.A.C,3037.0,1783312108.81827
http,138.186.76.57,999,Peru,PE,Villa Poeta José Gálvez Barrenechea,transparent,true,44.18,AS270076,EXA NETWORKS S.A.C.,2256.15,1783312099.574534
http,38.252.215.194,999,Peru,PE,Breña,transparent,true,10.13,AS274156,Cogent Communications,5821.79,1783312095.9919262
http,161.132.40.191,3128,Peru,PE,Lima,transparent,false,9.8,AS3132,Red Cientifica Peruana,5408.32,1783312094.4389975
http,45.236.44.94,8080,Peru,PE,Lima,transparent,true,13.33,AS27843,Optical Technologies S.A.C.,1732.09,1783312091.6594832
http,38.158.83.161,999,Peru,PE,Arequipa,transparent,false,12.18,AS272838,Fiberred SAC,2249.23,1783312087.7718885
http,38.226.49.203,8080,Peru,PE,Ayacucho,transparent,false,20.25,AS274029,Kazav Latam E.I.R.L.,9818.03,1783312073.4053483
http,177.67.250.222,8080,Peru,PE,Tarapoto,transparent,false,24.99,AS270069,Tecno Proyectos Globales S.a.c. - Tecnoglo S.A.C.,11896.47,1783312039.343904
http,45.189.108.20,999,Peru,PE,Surquillo,transparent,false,8.5,AS269843,Bantel SAC,5417.46,1783312168.615243
http,45.177.20.187,999,Peru,PE,Huánuco,transparent,true,97.4,AS267871,P&P BUSINESS GROUP SAC,689.52,1783312143.46156
http,201.230.121.228,999,Peru,PE,Puno,transparent,true,27.11,AS6147,Telefonica Del Peru,9099.05,1783312125.4861279
http,209.14.109.128,999,Peru,PE,Urbanización Ventanilla,transparent,false,8.91,AS272106,Corporacion Tarazona Catv S.A.C,6654.48,1783311993.2275052
