protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,187.102.210.138,999,Peru,PE,Mazuko,transparent,false,10.02,AS270006,INTEL COMUNICACIONES PERÚ SAC,6516.87,1781151538.8718653
http,45.189.117.198,999,Peru,PE,Lima,transparent,true,8.43,AS273133,Conex TV E.I.R.L.,8084.08,1781151536.8281085
http,38.172.128.139,999,Peru,PE,Lima,transparent,false,19.55,AS273133,Conex TV E.I.R.L,12325.94,1781151497.7768805
http,38.19.228.244,999,Peru,PE,Lima,transparent,false,30.33,AS273133,Conex TV E.I.R.L,8466.59,1781151496.619879
http,187.102.211.253,999,Peru,PE,Ventanilla,transparent,false,8.81,AS270006,INTEL COMUNICACIONES PERÚ SAC,9023.45,1781151492.0669525
http,38.210.7.3,999,Peru,PE,Lima,transparent,false,21.92,AS273067,Loa Network,4544.43,1781151488.4219737
http,190.12.95.170,47029,Peru,PE,Lima,elite,false,5.13,AS27843,ON EMPRESAS S.A.C,11933.67,1781151478.7689598
http,190.93.224.32,999,Peru,PE,Lima,transparent,true,74.0,AS266771,FICOM TELECOMUNICACIONES,6154.13,1781151459.5199087
http,200.121.48.195,999,Peru,PE,Lima,transparent,false,9.66,AS6147,Telefonica del Peru,5881.68,1781151453.5958557
http,38.158.83.241,999,Peru,PE,Arequipa,transparent,false,11.5,AS272838,Fiberred SAC,5855.93,1781151432.1764846
