protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.226.49.202,8080,Peru,PE,Ayacucho,transparent,true,18.56,AS274029,Kazav Latam E.I.R.L.,8801.04,1783668543.298159
http,190.108.82.247,999,Peru,PE,Challabamba,transparent,true,36.04,AS18678,Internexa S.a. E.S.P,1688.24,1783668522.3621638
http,38.19.228.188,999,Peru,PE,Lima,transparent,true,25.58,AS273133,Conex TV E.I.R.L,1611.9,1783668510.9472501
http,190.119.90.114,8080,Peru,PE,San Juan de Chito,transparent,true,18.67,AS12252,America Movil Peru S.A.C.,14756.2,1783668455.2913892
http,38.187.23.5,999,Peru,PE,Huancayo,transparent,true,42.84,AS271814,Nextnet SAC,4591.85,1783668453.2840717
http,38.183.183.114,999,Peru,PE,Huaura,transparent,true,10.47,AS273084,Forza Bussines S.A.C,2116.43,1783668436.3592541
http,38.199.6.82,999,Peru,PE,Lima,anonymous,true,27.91,AS273067,Loa Network,726.67,1783668587.5788822
http,45.177.20.187,999,Peru,PE,Huánuco,transparent,true,92.38,AS267871,P&P BUSINESS GROUP SAC,594.61,1783668565.218942
http,64.76.106.106,999,Peru,PE,Lima,transparent,true,68.16,AS273067,Loa Network,555.8,1783668543.2360864
http,38.19.228.244,999,Peru,PE,Lima,transparent,true,24.7,AS273133,Conex TV E.I.R.L,2235.0,1783668494.3263643
http,38.250.116.58,3128,Peru,PE,Ica,elite,true,8.02,AS3132,Red Cientifica Peruana,11100.38,1783668464.1790798
