protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,122.3.87.41,8080,Philippines,PH,Bacoor,transparent,true,8.26,AS9299,Philippine Long Distance Telephone Co.,6068.82,1780333746.3907037
http,124.106.66.194,8080,Philippines,PH,Makati City,transparent,true,9.02,AS9299,Philippine Long Distance Telephone Co.,7655.66,1780333738.1245973
http,180.191.23.26,8081,Philippines,PH,Cabanatuan City,transparent,false,13.61,AS132199,Globe Telecom,1473.02,1780333714.2958694
http,126.209.17.228,8080,Philippines,PH,Manila,transparent,false,9.84,AS135607,Infinivan Incorporated,12871.94,1780333710.3082309
http,8.212.168.170,1111,Philippines,PH,Manila,elite,false,0.95,AS45102,"Alibaba (US) Technology Co., Ltd.",3216.23,1780333709.7473974
http,195.86.215.2,3128,Philippines,PH,Manila,anonymous,false,9.69,AS984,Octopus Web Solution Inc,14592.59,1780333707.9894667
http,161.49.91.13,1337,Philippines,PH,Pasig,transparent,false,7.08,AS17639,Converge ICT Solution Inc,6310.81,1780333707.3127813
socks5,61.9.34.22,58765,Philippines,PH,San Juan,elite,true,25.6,AS17970,Sky Cable Corporation,11042.18,1780333705.6106453
http,8.212.168.170,3128,Philippines,PH,Manila,elite,false,0.96,AS45102,"Alibaba (US) Technology Co., Ltd.",9612.17,1780333703.5218873
http,180.191.233.68,9090,Philippines,PH,Kauran,transparent,false,23.7,AS4775,Globe Telecom,8975.49,1780333701.7702281
http,180.191.231.149,5050,Philippines,PH,Mandaue City,transparent,false,28.86,AS4775,Globe Telecom,9224.31,1780333700.6320279
http,124.105.36.193,8082,Philippines,PH,Makati City,transparent,false,11.26,AS9299,Philippine Long Distance Telephone Co.,5981.98,1780333700.463037
http,112.203.113.66,8082,Philippines,PH,Quezon City,transparent,false,63.25,AS9299,Philippine Long Distance Telephone Co.,8769.72,1780333689.1654794
http,180.191.231.47,8080,Philippines,PH,Mandaue City,transparent,false,22.74,AS4775,Globe Telecom,7383.7,1780333683.8938973
