protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,119.93.94.108,8080,Philippines,PH,Pasig,transparent,false,35.41,AS9299,Philippine Long Distance Telephone Co.,3746.12,1780595941.3757732
http,58.69.61.79,8082,Philippines,PH,Makati City,transparent,false,22.37,AS9299,Philippine Long Distance Telephone Co.,7575.32,1780595938.603877
http,180.191.120.72,8082,Philippines,PH,Cagayan de Oro,transparent,false,8.64,AS4775,Globe Telecom,773.23,1780595936.78385
http,124.107.39.186,8082,Philippines,PH,Makati City,transparent,false,10.96,AS9299,Philippine Long Distance Telephone Co.,5847.65,1780595924.083917
http,180.191.59.1,8082,Philippines,PH,Tarlac City,transparent,false,17.61,AS132199,Globe Telecom,11380.65,1780595911.186453
http,161.248.190.90,8080,Philippines,PH,Trento,transparent,true,6.53,AS135028,Gemstar Cable TV - Agusan Del SUR,4297.03,1780595910.689805
http,119.95.179.102,8082,Philippines,PH,Malolos,transparent,false,39.33,AS9299,Philippine Long Distance Telephone Co.,4958.23,1780595901.442267
http,203.20.42.69,8082,Philippines,PH,Valenzuela,transparent,false,5.63,AS154180,RNDS Network,2354.66,1780595901.29589
http,103.84.177.28,8083,Philippines,PH,Iloilo City,transparent,false,8.13,AS136244,"Panay Broadband / Buenavista Cable TV., Inc.",15949.5,1780595897.7320826
http,180.191.21.49,8081,Philippines,PH,Cabanatuan City,transparent,false,14.36,AS132199,Globe Telecom,6849.03,1780595896.2444007
http,119.92.252.190,8082,Philippines,PH,Pasig,transparent,false,24.07,AS9299,Philippine Long Distance Telephone Co.,16152.5,1780595891.6718469
http,122.53.64.156,8081,Philippines,PH,Makati City,transparent,true,16.12,AS9299,Philippine Long Distance Telephone Co.,7958.21,1780595891.3700418
http,103.84.177.125,8084,Philippines,PH,Iloilo City,transparent,false,7.93,AS136244,"Panay Broadband / Buenavista Cable TV., Inc.",3951.25,1780595890.4396536
http,222.127.241.158,8082,Philippines,PH,Iloilo City,transparent,false,14.13,AS132199,GLBB,3854.33,1780595887.6415927
http,222.127.103.129,8080,Philippines,PH,San Juan,transparent,false,5.9,AS4775,INNOVE,5114.0,1780595883.895364
http,119.93.198.210,8082,Philippines,PH,Taguig,transparent,true,9.93,AS9299,Philippine Long Distance Telephone Co.,17167.44,1780595883.6068223
http,122.52.107.138,8082,Philippines,PH,Olongapo City,transparent,true,12.45,AS9299,Philippine Long Distance Telephone Co.,6069.73,1780595877.9798021
http,112.198.128.171,8083,Philippines,PH,Nasugbu,transparent,false,14.58,AS132199,Globe Telecom,10111.75,1780595876.667263
http,180.191.20.206,8080,Philippines,PH,Cabanatuan City,transparent,false,7.72,AS132199,Globe Telecom,5894.15,1780595865.3908598
http,58.69.61.25,8082,Philippines,PH,Mandaluyong,transparent,false,8.92,AS9299,Philippine Long Distance Telephone Co.,6717.38,1780595856.2924514
http,45.195.249.158,8080,Philippines,PH,Koronadal,transparent,false,40.64,AS154267,Soon Bodywerkz Auto Pte. LTD,12676.32,1780595852.4798555
http,180.191.32.166,8081,Philippines,PH,Cabanatuan City,transparent,false,9.2,AS132199,Globe Telecom,12859.31,1780595849.1382508
http,124.106.83.244,8083,Philippines,PH,Quezon City,transparent,true,9.16,AS9299,Philippine Long Distance Telephone Co.,1952.92,1780595845.9760554
http,103.84.177.154,8083,Philippines,PH,Iloilo City,transparent,false,6.82,AS136244,"Panay Broadband / Buenavista Cable TV., Inc.",7718.72,1780595844.1599262
http,58.69.117.149,8082,Philippines,PH,Manila,transparent,true,10.06,AS9299,Philippine Long Distance Telephone Co.,626.19,1780595841.2841556
http,222.127.63.18,8082,Philippines,PH,Lahug,transparent,false,7.12,AS132199,Globe Telecom,9555.97,1780595836.5198936
http,38.10.91.114,8084,Philippines,PH,Iloilo City,transparent,false,8.63,AS136244,Cogent Communications,9562.02,1780595808.2938392
http,38.10.91.115,8084,Philippines,PH,Iloilo City,transparent,false,5.37,AS136244,Cogent Communications,6333.99,1780595750.6309428
http,119.93.172.135,8080,Philippines,PH,City of Muntinlupa,transparent,false,19.97,AS9299,Philippine Long Distance Telephone Co.,666.48,1780595740.6678133
http,203.28.67.74,8080,Philippines,PH,Cebu City,transparent,false,11.25,AS137074,Responsible Internet Sustainability Effort,4958.93,1780595971.151903
